frame,value
0,30.930733
1,28.153337
2,28.130245
3,28.370935
4,29.356457
5,27.870375
6,27.828962
7,27.885389
8,28.735643
9,27.093405
10,25.722109
11,25.590961
12,25.400688
13,24.262028
14,24.979225
15,25.681826
16,27.180965
17,26.148327
18,27.134222
19,27.442900
20,28.739449
21,27.794275
22,28.334455
23,28.230789
24,29.272915
25,27.969360
26,28.730412
27,28.486904
28,29.526054
29,28.610466
30,28.963945
31,28.587948
32,29.721363
33,28.593554
34,29.187284
35,28.785295
36,29.855886
37,28.864021
38,29.379013
39,28.872303
40,29.939966
41,28.810215
42,29.640451
43,29.311563
44,30.207495
45,29.181709
46,29.750689
47,29.317148
48,30.422350
49,29.248657
50,29.940310
51,29.296753
52,30.390753
53,29.387724
54,29.920380
55,29.529364
56,30.518042
57,29.521187
58,29.907806
59,29.588783
60,30.585878
61,29.844786
62,29.957966
63,29.741179
64,30.505367
65,29.720360
66,29.853441
67,29.861254
68,30.552656
69,29.779268
70,30.186964
71,29.728643
72,30.629778
73,29.755028
74,30.197290
75,29.787865
76,30.793142
77,29.917032
78,30.314888
79,29.704035
80,30.854485
81,29.968159
82,30.308760
83,29.709881
84,31.025959
85,30.117670
86,30.624741
87,29.914370
88,31.133478
89,30.046642
90,30.505089
91,30.327339
92,31.015001
93,30.071577
94,30.548157
95,30.263783
96,31.024837
97,30.360231
98,30.523308
99,30.360788
100,31.041569
101,30.220314
102,30.463457
103,30.075047
104,31.059916
105,30.089010
106,30.647966
107,29.983847
108,31.024782
109,30.133417
110,30.548317
111,30.258232
112,31.026152
113,30.268368
114,30.657820
115,30.410624
116,31.146955
117,30.146267
118,30.666788
119,30.135069
120,31.312166
121,30.049707
122,30.689442
123,30.098618
124,31.039660
125,30.200413
126,30.557577
127,30.432257
128,31.129341
129,30.114807
130,30.464018
131,30.392090
132,31.100031
133,30.169323
134,30.602869
135,30.536942
136,31.125433
137,30.231926
138,30.643879
139,30.313103
140,31.324142
141,30.328753
142,30.858959
143,30.172897
144,31.413891
145,30.190748
146,30.846704
147,30.163334
148,31.411165
149,30.285406
150,31.350355
151,30.160305
152,31.530279
153,30.422388
154,30.927887
155,30.360867
156,31.328478
157,30.322781
158,30.767527
159,30.386673
160,31.232956
161,30.351761
162,30.800570
163,30.443935
164,31.450766
165,30.598183
166,30.913656
167,30.623232
168,31.330545
169,30.772787
170,30.801653
171,30.751984
172,31.336962
173,30.797768
174,30.765215
175,30.705875
176,31.361460
177,30.422029
178,30.669147
179,30.680601
180,31.647314
181,30.300982
182,30.988241
183,30.523769
184,31.614197
185,30.473692
186,31.021032
187,30.354197
188,31.453051
189,30.630281
190,30.946764
191,30.422375
192,31.273993
193,30.405256
194,31.426147
195,30.363420
196,31.319155
197,30.769451
198,31.120638
199,30.363649
200,31.608278
201,30.408646
202,31.075932
203,30.421968
204,31.504175
205,30.518513
206,30.950987
207,30.588394
208,31.413830
209,30.612482
210,30.854050
211,30.749395
212,31.351540
213,30.768179
214,31.412859
215,31.717924
216,31.557384
217,31.502817
218,31.301584
219,31.462420
220,31.332291
221,31.373322
222,31.293242
223,31.343222
224,31.360640
225,31.259987
226,31.235071
227,31.129677
228,31.177660
229,31.318649
230,31.153034
231,31.096504
232,31.132010
233,31.130302
234,31.108948
235,31.052172
236,31.157898
237,31.030476
238,31.081057
239,31.015921
240,30.984879
241,30.976879
242,31.061035
243,30.955568
244,30.982536
245,30.941366
246,30.950365
247,31.097521
248,30.926718
249,34.573887
250,30.221508
251,31.355375
252,30.355469
253,31.725782
254,30.244537
255,30.835590
256,30.628206
257,31.506493
258,30.030590
259,30.607847
260,30.222980
261,31.074739
262,30.044270
263,30.466341
264,30.002840
265,31.208912
266,29.879612
267,30.313471
268,29.824203
269,31.272022
270,29.853987
271,30.366619
272,29.782558
273,30.966993
274,29.748638
275,30.264568
276,29.760065
277,30.942801
278,30.030592
279,30.459406
280,29.985813
281,30.867382
282,29.907486
283,30.522854
284,30.003109
285,30.774746
286,29.888094
