frame,value
0,0.982924
1,0.947700
2,0.947403
3,0.947440
4,0.958550
5,0.946164
6,0.946571
7,0.946807
8,0.945364
9,0.963603
10,0.937310
11,0.929861
12,0.926157
13,0.927328
14,0.925857
15,0.922317
16,0.921930
17,0.919836
18,0.916243
19,0.909240
20,0.912018
21,0.910247
22,0.908708
23,0.903543
24,0.906017
25,0.899751
26,0.896251
27,0.899693
28,0.886082
29,0.896477
30,0.890789
31,0.895168
32,0.887210
33,0.889317
34,0.885296
35,0.886750
36,0.873231
37,0.893128
38,0.884526
39,0.892834
40,0.884724
41,0.885593
42,0.886473
43,0.888054
44,0.891413
45,0.887991
46,0.898670
47,0.894465
48,0.903640
49,0.892897
50,0.897920
51,0.893229
52,0.893637
53,0.897138
54,0.893832
55,0.900269
56,0.900164
57,0.904048
58,0.899787
59,0.899806
60,0.899804
61,0.902374
62,0.900289
63,0.904791
64,0.904169
65,0.909110
66,0.902846
67,0.907540
68,0.902344
69,0.903157
70,0.906299
71,0.908036
72,0.908383
73,0.909456
74,0.912507
75,0.908257
76,0.911583
77,0.910526
78,0.909110
79,0.911191
80,0.914663
81,0.913914
82,0.916204
83,0.917458
84,0.918111
85,0.916009
86,0.918735
87,0.915483
88,0.920622
89,0.916968
90,0.919473
91,0.924245
92,0.922847
93,0.921328
94,0.920644
95,0.922507
96,0.920703
97,0.927952
98,0.922400
99,0.928322
100,0.925506
101,0.931369
102,0.924492
103,0.925695
104,0.925207
105,0.925399
106,0.928995
107,0.926399
108,0.927681
109,0.928082
110,0.931398
111,0.930576
112,0.927516
113,0.927094
114,0.929282
115,0.929908
116,0.931629
117,0.928985
118,0.933381
119,0.930238
120,0.935968
121,0.931419
122,0.933317
123,0.930932
124,0.932352
125,0.935129
126,0.932017
127,0.934399
128,0.933799
129,0.934421
130,0.931792
131,0.937385
132,0.933440
133,0.934869
134,0.933777
135,0.943139
136,0.934800
137,0.936636
138,0.934111
139,0.937837
140,0.938973
141,0.938231
142,0.937165
143,0.936234
144,0.938851
145,0.936813
146,0.941854
147,0.936954
148,0.941241
149,0.938215
150,0.951011
151,0.937899
152,0.944030
153,0.937619
154,0.942129
155,0.945089
156,0.942049
157,0.940183
158,0.940952
159,0.941703
160,0.939650
161,0.946278
162,0.938901
163,0.943613
164,0.943981
165,0.948780
166,0.942259
167,0.946114
168,0.941690
169,0.950929
170,0.941872
171,0.946364
172,0.941807
173,0.950816
174,0.941576
175,0.943888
176,0.942614
177,0.944331
178,0.941529
179,0.944172
180,0.946783
181,0.939718
182,0.951340
183,0.941103
184,0.946449
185,0.940589
186,0.948569
187,0.941700
188,0.943154
189,0.941624
190,0.942371
191,0.949427
192,0.941052
193,0.942921
194,0.950365
195,0.945425
196,0.943211
197,0.946665
198,0.946617
199,0.941757
200,0.952572
201,0.943803
202,0.945668
203,0.944258
204,0.947093
205,0.945426
206,0.942543
207,0.942786
208,0.942596
209,0.951868
210,0.941646
211,0.946190
212,0.942288
213,0.944482
214,0.944639
215,0.945183
216,0.942778
217,0.948251
218,0.942496
219,0.944301
220,0.942112
221,0.943196
222,0.942273
223,0.944580
224,0.942332
225,0.947776
226,0.942458
227,0.941655
228,0.941134
229,0.941787
230,0.942131
231,0.940979
232,0.953912
233,0.941634
234,0.942564
235,0.941834
236,0.949487
237,0.941516
238,0.943262
239,0.941762
240,0.949687
241,0.941978
242,0.943440
243,0.944020
244,0.944530
245,0.944805
246,0.943136
247,0.947212
248,0.949965
249,0.976391
250,0.932415
251,0.936835
252,0.931345
253,0.939639
254,0.937956
255,0.933692
256,0.935326
257,0.933700
258,0.939243
259,0.933786
260,0.933744
261,0.934919
262,0.937483
263,0.935938
264,0.935030
265,0.938261
266,0.934452
267,0.941838
268,0.933834
269,0.938650
270,0.934413
271,0.938628
272,0.935601
273,0.934719
274,0.935513
275,0.934484
276,0.942270
277,0.934327
278,0.936245
279,0.935665
280,0.942564
281,0.936022
282,0.936604
283,0.935853
284,0.940332
285,0.942440
286,0.937918
287,0.934330
288,0.935930
289,0.939936
290,0.936554
291,0.935714
292,0.934918
293,0.936509
294,0.944455
295,0.937622
296,0.937186
297,0.937611
298,0.938483
299,0.945573
300,0.938818
301,0.938176
302,0.937825
303,0.936862
304,0.939596
305,0.939450
306,0.937819
307,0.937977
308,0.946118
309,0.939782
310,0.938775
311,0.939882
312,0.939493
313,0.949331
314,0.940600
315,0.942911
316,0.940413
317,0.941369
318,0.939731
319,0.942055
320,0.939095
321,0.939666
322,0.948083
323,0.941226
324,0.940479
325,0.941701
326,0.943114
327,0.940399
328,0.940908
329,0.942386
330,0.941310
331,0.949662
332,0.942322
333,0.944095
334,0.941770
335,0.945443
336,0.940801
337,0.943190
338,0.943492
339,0.942856
340,0.949922
341,0.940960
342,0.941846
343,0.941267
344,0.947177
345,0.940852
346,0.943054
347,0.940732
348,0.943651
349,0.949923
350,0.942719
351,0.940964
352,0.944263
353,0.943847
354,0.941561
355,0.941751
356,0.941159
357,0.941018
358,0.950467
359,0.942983
360,0.943986
361,0.942404
362,0.943867
363,0.941711
364,0.942394
365,0.940638
366,0.943414
367,0.951085
368,0.944894
369,0.940984
370,0.943020
371,0.941412
372,0.942616
373,0.940747
374,0.950068
375,0.942778
376,0.943774
377,0.941782
378,0.941668
379,0.952172
380,0.942818
381,0.944085
382,0.944812
383,0.943113
384,0.940986
385,0.952300
386,0.942842
387,0.943893
388,0.943139
389,0.947446
390,0.944686
391,0.943513
392,0.942965
393,0.942582
394,0.952062
395,0.943241
396,0.942320
397,0.946148
398,0.942944
399,0.941666
400,0.941976
401,0.954233
402,0.942799
403,0.943654
404,0.942699
405,0.948166
406,0.944021
407,0.942715
408,0.942456
409,0.944210
410,0.952060
411,0.941907
412,0.942403
413,0.944953
414,0.942726
415,0.944386
416,0.942592
417,0.953737
418,0.942201
419,0.944504
420,0.945607
421,0.944798
422,0.942874
423,0.941822
424,0.952954
425,0.944267
426,0.943398
427,0.942866
428,0.949691
429,0.943389
430,0.943910
431,0.943741
432,0.944587
433,0.952722
434,0.942629
435,0.944158
436,0.945574
437,0.947850
438,0.942993
439,0.943163
440,0.942460
441,0.941071
442,0.952216
443,0.943983
444,0.946425
445,0.942479
446,0.950141
447,0.944816
448,0.943604
449,0.942049
450,0.942187
451,0.952406
452,0.943625
453,0.940405
454,0.942765
455,0.943544
456,0.940423
457,0.936606
458,0.938587
459,0.946532
460,0.940729
461,0.940356
462,0.942647
463,0.940074
464,0.939075
