frame,value
0,28.506344
1,27.606161
2,27.527166
3,27.842682
4,28.169901
5,27.283081
6,27.522816
7,27.447590
8,27.394382
9,27.858522
10,26.906641
11,27.145348
12,26.585039
13,26.720228
14,25.284618
15,25.641344
16,25.178404
17,25.313034
18,26.022806
19,24.986643
20,24.820745
21,24.810467
22,26.060921
23,25.123384
24,25.296917
25,25.274443
26,25.601021
27,26.752205
28,25.518761
29,26.169519
30,25.419239
31,26.541227
32,26.016649
33,26.166008
34,25.983065
35,26.890059
36,25.743412
37,26.438898
38,25.823210
39,26.713219
40,26.254044
41,26.446081
42,26.409195
43,26.524408
44,27.109091
45,26.478830
46,26.876753
47,26.474588
48,27.137262
49,26.378553
50,26.670252
51,26.459162
52,26.275501
53,27.065008
54,26.238142
55,26.717813
56,26.474237
57,27.088179
58,26.663157
59,26.854004
60,26.718384
61,27.288481
62,26.457609
63,26.791792
64,26.631891
65,27.268671
66,26.442781
67,27.038059
68,26.724585
69,26.777538
70,27.381748
71,26.768808
72,26.872038
73,26.736452
74,27.295580
75,26.661316
76,27.082001
77,27.093044
78,26.806604
79,27.293613
80,27.008078
81,26.996426
82,26.994148
83,27.304342
84,27.041456
85,27.197584
86,27.268782
87,26.873259
88,27.682461
89,26.910372
90,27.273495
91,27.294228
92,27.582829
93,26.978668
94,27.169403
95,27.240076
96,27.062517
97,27.806839
98,26.891840
99,27.482868
100,27.118139
101,27.734951
102,27.159231
103,27.073734
104,27.236082
105,27.229141
106,27.661175
107,26.861393
108,27.259171
109,27.126865
110,27.593058
111,27.262257
112,27.286169
113,27.238092
114,27.278456
115,27.711683
116,27.099592
117,27.368677
118,27.159573
119,27.546036
120,27.191145
121,27.202543
122,27.219793
123,27.142942
124,27.550896
125,27.173674
126,27.121773
127,27.185593
128,27.117310
129,27.221960
130,26.999586
131,27.689259
132,26.950220
133,27.352726
134,27.126789
135,27.956587
136,27.149393
137,27.364599
138,27.172464
139,27.233955
140,27.855209
141,27.268322
142,27.374538
143,27.002426
144,27.491611
145,27.296410
146,27.766975
147,27.280602
148,27.616882
149,27.592661
150,28.352686
151,27.304621
152,27.594671
153,27.600088
154,27.664772
155,27.768387
156,27.309570
157,27.471458
158,27.670218
159,27.686544
160,27.393604
161,27.910166
162,27.431484
163,27.755423
164,27.485582
165,28.041916
166,27.671991
167,27.734756
168,27.424686
169,28.224634
170,27.542830
171,28.007803
172,27.575575
173,28.187969
174,27.315445
175,27.728106
176,27.391584
177,27.837055
178,27.199408
179,27.639580
180,27.655817
181,27.328976
182,28.016726
183,27.478333
184,27.797035
185,27.511192
186,27.995192
187,27.286306
188,27.623158
189,27.501896
190,27.550377
191,27.870548
192,27.373318
193,27.499239
194,27.841690
195,27.788952
