frame,value
0,0.998505
1,0.997193
2,0.997143
3,0.997019
4,0.997482
5,0.996621
6,0.996218
7,0.996586
8,0.994703
9,0.992132
10,0.989110
11,0.967408
12,0.962243
13,0.960113
14,0.963946
15,0.958096
16,0.962995
17,0.960551
18,0.966431
19,0.966174
20,0.964450
21,0.965440
22,0.961644
23,0.966453
24,0.962902
25,0.962626
26,0.964894
27,0.964690
28,0.965429
29,0.967679
30,0.970198
31,0.971456
32,0.972727
33,0.973594
34,0.974253
35,0.973514
36,0.973488
37,0.973715
38,0.973673
39,0.973457
40,0.973391
41,0.973584
42,0.974467
43,0.976388
44,0.977007
45,0.976501
46,0.975749
47,0.976369
48,0.976607
49,0.976895
50,0.978065
51,0.977947
52,0.976833
53,0.975965
54,0.975622
55,0.976156
56,0.977573
57,0.979431
58,0.979606
59,0.979203
60,0.978974
61,0.978839
62,0.978707
63,0.979409
64,0.979685
65,0.993199
66,0.993323
67,0.993059
68,0.992990
69,0.993438
70,0.993634
71,0.993759
72,0.993866
73,0.994016
74,0.994076
75,0.994342
76,0.993969
77,0.994130
78,0.994321
79,0.994565
80,0.994807
81,0.994029
82,0.993074
83,0.992086
84,0.993387
85,0.993885
86,0.994022
87,0.993339
88,0.993236
89,0.992535
90,0.991915
91,0.991382
92,0.991134
93,0.990676
94,0.990997
95,0.990774
96,0.993396
97,0.990843
98,0.990887
99,0.990943
100,0.991085
101,0.991595
102,0.991122
103,0.991358
104,0.990857
105,0.991725
106,0.991943
107,0.991960
108,0.990963
109,0.991802
110,0.992257
111,0.992833
112,0.992993
113,0.993399
114,0.993605
115,0.994844
116,0.992844
117,0.992802
118,0.992621
119,0.992833
120,0.992758
121,0.993104
122,0.993104
123,0.993009
124,0.993101
125,0.993155
126,0.993333
127,0.993505
128,0.993470
129,0.993393
130,0.993349
131,0.993169
132,0.993295
133,0.993523
134,0.993713
135,0.993728
136,0.993877
137,0.994011
138,0.994090
139,0.994097
140,0.994114
141,0.994076
142,0.994106
143,0.994168
144,0.994259
145,0.994439
146,0.994445
147,0.994301
148,0.994402
149,0.994463
150,0.994735
151,0.994586
152,0.994904
153,0.994669
154,0.994890
155,0.994157
156,0.996159
157,0.994780
158,0.994803
159,0.994747
160,0.994952
161,0.994971
162,0.994886
163,0.994932
164,0.994767
165,0.994701
166,0.994698
167,0.994698
168,0.994425
169,0.994269
170,0.994384
171,0.994129
172,0.993991
173,0.994158
174,0.994325
175,0.994646
176,0.994682
177,0.994567
178,0.994779
179,0.994784
180,0.994953
181,0.994925
182,0.995139
183,0.992882
184,0.990677
185,0.991407
186,0.991914
187,0.991020
188,0.992523
189,0.993042
190,0.992462
191,0.993481
192,0.993049
193,0.993353
194,0.993354
195,0.993493
196,0.993624
197,0.993771
198,0.993784
199,0.993474
200,0.993540
201,0.993174
202,0.993199
203,0.992183
204,0.992984
205,0.993200
206,0.992925
207,0.993679
208,0.993164
209,0.992788
210,0.992521
211,0.992180
212,0.992816
213,0.992512
214,0.992895
215,0.992031
216,0.992416
217,0.991959
218,0.991271
219,0.990781
220,0.990780
221,0.990160
222,0.990145
223,0.989962
224,0.990262
225,0.989621
226,0.988957
227,0.989211
228,0.989883
229,0.990510
230,0.990661
231,0.990886
232,0.992049
233,0.992464
234,0.992401
235,0.992389
236,0.992479
237,0.992724
238,0.992971
239,0.993749
240,0.993247
241,0.993688
242,0.992969
243,0.992810
244,0.992965
245,0.993270
246,0.993296
247,0.993315
248,0.993358
249,0.993458
250,0.993419
251,0.993841
252,0.993651
253,0.993626
254,0.993361
255,0.993149
256,0.992894
257,0.993095
258,0.992979
259,0.992781
260,0.992611
261,0.992279
262,0.991778
263,0.990536
264,0.988372
265,0.996802
266,0.995559
267,0.995439
268,0.994956
269,0.995088
270,0.994903
271,0.995193
272,0.995035
273,0.995294
274,0.995072
275,0.995108
276,0.994787
277,0.995000
278,0.994756
279,0.994931
280,0.994609
281,0.994915
282,0.994636
283,0.994954
284,0.994771
285,0.995406
286,0.995030
287,0.995333
288,0.995168
289,0.995795
290,0.995492
291,0.995666
292,0.995454
293,0.995855
294,0.995468
295,0.995613
296,0.995466
297,0.995858
298,0.995447
299,0.995528
300,0.995394
301,0.995859
302,0.995483
303,0.995622
304,0.995494
305,0.995860
306,0.995584
307,0.995682
308,0.995550
309,0.995930
310,0.995599
311,0.995700
312,0.995546
313,0.995934
314,0.995571
315,0.995865
316,0.995669
317,0.996080
318,0.995713
319,0.995817
320,0.995747
321,0.996172
322,0.995837
323,0.995907
324,0.995888
325,0.996338
326,0.996024
327,0.996153
328,0.996024
329,0.996391
330,0.996081
331,0.996213
332,0.995961
333,0.996514
334,0.996201
335,0.996346
336,0.996203
