frame,value
0,44.570919
1,41.265335
2,40.711533
3,40.641979
4,41.433308
5,40.269531
6,39.850990
7,40.059570
8,38.043446
9,36.431492
10,34.716526
11,30.193083
12,28.769423
13,28.567965
14,28.758194
15,28.152458
16,28.587133
17,28.247343
18,28.984793
19,28.432634
20,28.488510
21,28.531410
22,28.356644
23,29.068975
24,28.429001
25,28.781963
26,29.141256
27,29.275343
28,29.457682
29,29.626202
30,29.678762
31,29.757740
32,29.788189
33,29.928896
34,29.804047
35,29.560654
36,29.739922
37,29.888445
38,29.949480
39,29.996155
40,30.500153
41,30.684849
42,30.664814
43,30.966944
44,31.034918
45,30.932796
46,30.743422
47,30.924028
48,30.956158
49,30.852234
50,30.791105
51,30.718260
52,30.489941
53,30.118839
54,30.109798
55,30.302269
56,30.522161
57,30.765743
58,30.641985
59,30.591217
60,30.563187
61,30.286186
62,30.266117
63,30.505583
64,30.635813
65,36.390984
66,36.555313
67,36.319046
68,36.179729
69,36.410046
70,36.656567
71,36.716732
72,36.906933
73,37.231354
74,37.758232
75,38.174728
76,37.483765
77,37.549900
78,37.767315
79,37.584862
80,37.967445
81,36.710449
82,35.901321
83,35.279381
84,36.015446
85,36.657223
86,36.500141
87,35.852325
88,35.465275
89,35.338097
90,35.079556
91,34.916603
92,34.924637
93,34.829079
94,34.828682
95,34.765530
96,36.850536
97,35.023811
98,34.915947
99,34.624519
100,34.763760
101,35.252274
102,34.702770
103,35.350525
104,34.828857
105,35.816044
106,35.908066
107,35.311878
108,35.130756
109,35.526489
110,35.934158
111,36.190617
112,36.316559
113,36.521904
114,36.582573
115,34.645531
116,33.285686
117,33.428448
118,33.255127
119,33.604099
120,33.469173
121,33.356171
122,33.504074
123,33.493507
124,33.618816
125,33.683437
126,33.804562
127,33.908291
128,33.797638
129,33.588184
130,33.300926
131,33.134525
132,33.123535
133,33.246628
134,33.336292
135,33.378212
136,33.421532
137,33.570469
138,33.518440
139,33.377686
140,33.146339
141,32.908272
142,32.845135
143,32.848076
144,32.958332
145,33.278755
146,33.540230
147,33.579826
148,33.605164
149,33.688194
150,33.955982
151,33.754936
152,34.117290
153,33.930210
154,34.223682
155,33.524639
156,37.743607
157,36.504673
158,36.217503
159,35.810989
160,35.984474
161,35.859764
162,35.517021
163,35.478516
164,35.590248
165,35.797359
166,35.806881
167,35.851231
168,35.662159
169,35.429432
170,35.484047
171,35.667088
172,35.586365
173,35.658047
174,35.724762
175,36.259895
176,36.474342
177,36.278500
178,36.467075
179,36.349224
180,36.359455
181,36.116756
182,36.223698
183,33.761829
184,32.709892
185,33.037262
186,33.726349
187,32.771759
188,34.273479
