frame,value
0,32.225323
1,30.561401
2,29.244465
3,28.662703
4,28.498018
5,29.206608
6,29.542608
7,29.178457
8,28.349676
9,27.369400
10,25.678024
11,24.372171
12,23.656347
13,23.585154
14,23.196783
15,22.985561
16,22.602213
17,22.443521
18,22.354826
19,21.785973
20,22.066866
21,21.486616
22,21.747143
23,21.241934
24,20.928713
25,20.693953
26,20.339373
27,19.953114
28,19.862162
29,19.738659
30,19.373938
31,19.105242
32,18.586916
33,18.225643
34,17.715351
35,17.698782
36,18.013660
37,18.136217
38,18.847656
39,19.563913
40,19.349062
41,19.203800
42,18.734625
43,19.099747
44,18.987061
45,19.175671
46,19.190016
47,19.077375
48,18.805634
49,18.515059
50,18.269188
51,18.414028
52,18.308933
53,17.925137
54,18.091106
55,16.992659
56,16.204931
57,15.860269
58,16.936619
59,16.450804
60,17.556265
61,17.408041
62,17.472042
63,17.680674
64,17.498095
65,11.130945
66,13.478102
67,14.389704
68,15.164665
69,15.536471
70,16.318441
71,16.289156
72,15.205474
73,15.399884
74,16.173870
75,16.741579
76,15.806362
77,16.769827
78,17.281515
79,17.257635
80,16.788696
81,17.133280
82,17.311312
83,17.440762
84,15.792931
85,16.322790
86,15.881234
87,17.137453
88,17.992918
89,18.008743
90,17.479710
91,17.554623
92,17.546762
93,17.566929
94,17.914379
95,17.970041
96,16.662071
97,17.971659
98,18.431971
99,18.184309
100,18.254713
101,18.241873
102,18.637487
103,18.649199
104,18.841946
105,18.360355
106,18.130472
107,17.801970
108,18.230780
109,18.583511
110,18.530199
111,18.462820
112,17.850101
113,17.451498
114,16.350313
115,16.927473
116,17.777185
117,17.779821
118,18.447411
119,18.502401
120,18.631340
121,18.760998
122,19.258791
123,19.313215
124,19.206972
125,19.188684
126,19.383234
127,19.627354
128,19.162296
129,18.692926
130,18.307720
131,18.399950
132,18.568783
133,18.753767
134,18.717340
135,18.656698
136,18.858326
137,18.953775
138,19.063179
139,19.010111
140,19.135271
141,19.016224
142,19.280621
143,18.827450
144,17.262947
145,18.133015
146,18.336662
147,18.435556
148,18.703522
149,18.614916
150,18.940502
151,19.400396
152,19.442955
153,19.697573
154,19.686432
155,19.836607
156,15.201523
157,16.776520
158,17.521376
159,17.647430
160,17.513655
161,17.030069
162,16.971945
163,17.040709
164,17.358999
165,17.452206
166,17.245331
167,17.273903
168,17.441389
169,16.800289
170,15.008129
171,13.740785
172,13.599758
173,13.196917
174,12.718889
175,12.550912
176,12.594667
177,12.571651
178,13.226688
179,13.497291
180,13.639426
181,13.664906
182,12.601539
183,15.567708
184,16.007481
185,16.083807
186,16.278772
187,16.333939
188,16.735561
189,17.040110
190,17.207327
191,17.493717
192,17.581545
193,18.004848
194,17.815107
195,17.593960
196,16.398470
197,14.771871
198,13.910156
199,13.369153
200,12.898135
201,13.229572
202,13.218415
203,13.083934
204,13.007328
205,13.531709
206,13.823984
207,14.439977
208,14.362820
209,14.960434
210,15.464199
211,15.522821
212,15.504750
213,15.324087
214,15.174397
215,15.068460
216,14.962051
217,14.748277
218,14.523764
219,14.348910
220,14.224169
221,14.107574
222,13.833453
223,13.932294
224,13.702334
225,13.536947
226,13.363077
227,13.170140
228,13.041104
229,12.923855
230,12.809592
231,12.721517
232,12.515822
233,12.379064
234,12.234742
235,12.231842
236,12.228113
237,12.176894
238,12.009851
239,11.666571
240,11.598297
241,11.358402
242,11.208517
243,10.993560
244,10.777153
245,10.570354
246,10.372176
247,10.172227
248,9.966878
249,9.781011
250,9.587862
251,9.346897
252,9.236773
253,9.015560
254,8.913850
255,8.764166
256,8.669388
257,8.599822
258,8.477272
259,8.389511
260,8.330750
261,8.234131
262,8.162726
263,8.112175
264,8.082417
265,16.200138
266,17.373837
267,17.248079
268,17.450893
269,17.104370
270,17.810503
271,17.745605
272,18.036253
273,18.059534
274,18.142504
275,18.235468
276,18.065786
277,17.709038
278,18.060246
279,17.878349
280,18.289740
281,18.012388
282,18.335455
283,17.907721
284,17.757727
285,17.354580
286,17.648535
287,17.487789
288,17.521065
289,17.134264
290,17.577353
291,17.403641
292,17.628326
293,17.531584
294,17.692884
295,17.624712
296,17.733271
297,17.725571
298,17.707321
299,17.632187
300,17.800819
301,17.784607
302,17.910688
303,17.873034
304,17.970951
305,18.001688
306,18.041569
307,17.970394
308,17.969419
309,18.055864
310,18.111124
311,18.001976
312,18.051405
313,18.016798
314,18.028740
315,17.843695
316,17.852163
317,17.913345
318,18.070513
319,18.049219
320,18.112259
321,18.054577
322,18.164543
323,18.133423
324,18.189512
325,18.274151
326,18.398787
327,18.363394
328,18.448133
329,18.498281
330,18.543745
