frame,value
0,0.997765
1,0.996403
2,0.996269
3,0.996151
4,0.996409
5,0.995714
6,0.995214
7,0.995495
8,0.993359
9,0.990268
10,0.987006
11,0.962311
12,0.959871
13,0.958264
14,0.957505
15,0.954912
16,0.956425
17,0.956351
18,0.960279
19,0.961702
20,0.960455
21,0.961895
22,0.956918
23,0.959385
24,0.958342
25,0.957774
26,0.960633
27,0.960500
28,0.960841
29,0.962890
30,0.965195
31,0.966643
32,0.968382
33,0.969914
34,0.970130
35,0.968914
36,0.969016
37,0.969506
38,0.970181
39,0.969262
40,0.969210
41,0.968994
42,0.969839
43,0.971311
44,0.972180
45,0.971751
46,0.970329
47,0.971600
48,0.971734
49,0.972564
50,0.973165
51,0.973401
52,0.971812
53,0.970386
54,0.970262
55,0.970964
56,0.972982
57,0.974591
58,0.975300
59,0.974569
60,0.974209
61,0.974158
62,0.974258
63,0.975098
64,0.975572
65,0.991211
66,0.990973
67,0.990744
68,0.990582
69,0.991150
70,0.991351
71,0.991630
72,0.991734
73,0.991992
74,0.992011
75,0.992464
76,0.991774
77,0.992008
78,0.992344
79,0.992525
80,0.992928
81,0.991780
82,0.990546
83,0.989349
84,0.991174
85,0.991978
86,0.992176
87,0.991259
88,0.991257
89,0.990295
90,0.989432
91,0.988755
92,0.988455
93,0.987876
94,0.988200
95,0.988104
96,0.991399
97,0.988055
98,0.988135
99,0.988168
100,0.988211
101,0.988621
102,0.988259
103,0.988405
104,0.988091
105,0.988957
106,0.989203
107,0.989197
108,0.988064
109,0.988961
110,0.989601
111,0.990496
112,0.990844
113,0.991465
114,0.991487
115,0.992848
116,0.990128
117,0.989939
118,0.989771
119,0.990288
120,0.990202
121,0.990520
122,0.990701
123,0.990777
124,0.991107
125,0.991139
126,0.991590
127,0.991679
128,0.991712
129,0.991529
130,0.991444
131,0.991204
132,0.991256
133,0.991573
134,0.991740
135,0.991815
136,0.991933
137,0.992118
138,0.992100
139,0.992134
140,0.992127
141,0.991920
142,0.991891
143,0.991970
144,0.992064
145,0.992286
146,0.992328
147,0.992206
148,0.992368
149,0.992471
150,0.992892
151,0.992605
152,0.993063
153,0.992722
154,0.993137
155,0.992039
156,0.994691
157,0.993219
158,0.993121
159,0.993038
160,0.993234
161,0.993161
162,0.993091
163,0.993106
164,0.992899
165,0.992894
166,0.992811
167,0.992946
168,0.992412
169,0.992201
170,0.992301
171,0.992083
172,0.991936
173,0.992093
174,0.992279
175,0.992645
176,0.992840
177,0.992555
178,0.992681
179,0.992737
180,0.993034
181,0.992819
182,0.993165
183,0.989482
184,0.986718
185,0.987917
186,0.989022
187,0.988237
188,0.990038
189,0.990757
190,0.990443
191,0.991463
192,0.991391
193,0.991757
194,0.991671
195,0.991910
196,0.992068
197,0.992131
198,0.992133
199,0.991627
200,0.991720
201,0.991260
202,0.991310
203,0.990225
204,0.991270
205,0.991544
206,0.991283
207,0.991714
208,0.991542
209,0.990973
210,0.990571
211,0.990003
212,0.990510
213,0.990436
214,0.990685
215,0.990054
216,0.989954
217,0.989255
218,0.988853
219,0.987696
220,0.987542
221,0.986883
222,0.987150
223,0.986555
224,0.986800
225,0.985973
226,0.985300
227,0.985356
228,0.986070
229,0.987199
230,0.988072
231,0.988290
232,0.989493
233,0.990202
234,0.990131
235,0.990393
236,0.990585
237,0.990863
238,0.991200
239,0.992045
240,0.991756
241,0.992073
242,0.991427
243,0.991266
244,0.991325
245,0.991627
246,0.991653
247,0.991743
248,0.991796
249,0.991809
250,0.991783
251,0.992146
252,0.992005
253,0.991832
254,0.991450
255,0.991091
256,0.990688
257,0.990990
258,0.990843
259,0.990466
260,0.990264
261,0.989723
262,0.989076
263,0.987508
264,0.984819
265,0.995491
266,0.994077
267,0.993915
268,0.993305
269,0.993465
270,0.993227
271,0.993637
272,0.993450
273,0.993701
274,0.993517
275,0.993560
276,0.993132
277,0.993353
278,0.993111
279,0.993381
280,0.992951
281,0.993290
282,0.992929
283,0.993352
284,0.993102
285,0.993761
286,0.993382
287,0.993728
288,0.993528
289,0.994106
290,0.993853
291,0.994075
292,0.993838
293,0.994202
294,0.993836
295,0.994040
296,0.993837
297,0.994213
298,0.993832
299,0.993958
300,0.993737
301,0.994201
302,0.993874
303,0.994068
304,0.993909
305,0.994277
306,0.994020
307,0.994226
308,0.994030
309,0.994368
310,0.994107
311,0.994191
312,0.994040
313,0.994429
314,0.994157
315,0.994469
316,0.994219
317,0.994597
318,0.994266
319,0.994421
320,0.994275
321,0.994734
322,0.994404
323,0.994557
324,0.994534
325,0.994965
326,0.994690
327,0.994880
328,0.994679
329,0.995058
330,0.994748
331,0.994948
332,0.994676
333,0.995202
334,0.994928
335,0.995112
336,0.994937
337,0.995368
338,0.995058
339,0.995221
340,0.995034
341,0.995470
342,0.995200
343,0.995375
344,0.995213
345,0.995565
346,0.995274
347,0.995368
348,0.995210
349,0.995520
350,0.995129
351,0.995346
352,0.995181
353,0.995447
354,0.995083
355,0.995240
