frame,value
0,49.396469
1,46.000374
2,46.133755
3,45.569645
4,46.498207
5,44.642273
6,43.808292
7,44.405819
8,41.195843
9,38.943748
10,37.805523
11,33.015053
12,31.814907
13,31.563871
14,30.223003
15,31.259842
16,30.191502
17,31.500912
18,30.563187
19,31.763063
20,31.784399
21,32.037334
22,31.809498
23,30.948574
24,32.274364
25,32.651005
26,33.112289
27,33.201496
28,33.346191
29,33.631775
30,33.755630
31,34.026379
32,33.876545
33,33.949337
34,33.751938
35,33.390484
36,33.539787
37,33.697536
38,33.750416
39,33.791840
40,34.334053
41,34.506748
42,34.533688
43,34.711838
44,34.806076
45,34.712177
46,34.528679
47,34.604641
48,34.553638
49,34.518547
50,34.495258
51,34.341064
52,33.983250
53,33.844322
54,33.666645
55,33.840340
56,34.086613
57,34.368240
58,34.396194
59,34.251480
60,34.178047
61,33.956776
62,33.946388
63,34.159443
64,34.236111
65,40.284409
66,40.594982
67,40.400383
68,40.329990
69,40.544983
70,40.843849
71,40.895664
72,41.053322
73,41.352570
74,41.877327
75,42.433220
76,41.859814
77,41.847687
78,42.044765
79,42.028339
80,42.417103
81,41.045338
82,40.152706
83,39.307667
84,40.322102
85,40.919289
86,40.603962
87,39.971867
88,39.715668
89,39.379395
90,38.988857
91,38.816162
92,38.806053
93,38.655956
94,38.732746
95,38.653816
96,40.156361
97,38.724724
98,38.681114
99,38.537918
100,38.693367
101,37.691853
102,38.752342
103,37.772255
104,38.804497
105,37.755615
106,38.014744
107,39.373135
108,39.103649
109,39.600246
110,39.998665
111,40.184898
112,40.257286
113,40.556778
114,40.708954
115,39.414314
116,36.886364
117,37.797058
118,37.620792
119,36.640606
120,36.679634
121,38.048256
122,38.053368
123,38.097038
124,38.188427
125,38.146587
126,38.278267
127,38.376415
128,38.278175
129,37.949249
130,37.770130
131,37.533573
132,37.521606
133,37.623219
134,37.706703
135,37.741966
136,37.908485
137,37.983486
138,37.986069
139,37.849308
140,37.709686
141,37.455425
142,37.518509
143,37.494228
144,37.582977
145,37.929634
146,38.014965
147,38.068340
148,38.050240
149,38.114799
150,37.425358
151,38.373447
152,37.730900
153,38.524578
154,37.805962
155,38.050911
156,42.210098
157,40.761494
158,40.766140
159,40.641571
160,40.736443
161,40.567223
162,40.302345
163,40.249172
164,40.308933
165,40.445011
166,40.480400
167,40.441837
168,40.244881
169,40.104912
170,40.155128
171,40.337917
172,40.160545
173,40.381798
174,40.307968
175,40.741699
176,40.969677
177,40.813419
178,41.040077
179,40.990803
180,41.007618
181,40.664131
182,40.799397
183,38.994171
184,36.802761
185,36.903198
186,37.047684
187,37.399670
188,37.387947
189,38.036873
190,38.698185
191,38.333504
192,39.545528
193,39.892483
194,39.823975
195,40.033245
196,40.127739
197,40.057362
198,40.027447
199,39.533188
200,39.376949
201,39.104359
202,39.102612
203,38.640606
204,39.265347
205,39.187817
206,39.065479
207,38.395653
208,38.981102
209,38.776295
210,38.514030
211,38.191509
212,37.521488
213,38.402973
214,37.779751
215,38.198513
216,37.432735
217,37.216148
218,37.720909
219,36.404213
220,36.471676
221,36.517433
222,37.340286
223,36.477444
224,36.549389
225,36.387119
226,36.779762
227,36.024483
228,36.308117
229,36.661022
230,37.481743
231,37.431229
232,37.176750
233,37.280903
234,37.382336
235,38.292561
236,38.117130
237,38.286545
238,38.535748
239,38.265694
240,38.648346
241,38.277191
242,38.542355
243,38.483448
244,38.556820
245,38.687359
246,38.629402
247,38.555134
248,38.565948
249,38.531872
250,38.513515
251,38.353966
252,38.611374
253,38.374111
254,38.499554
255,38.199974
256,38.090282
257,38.413368
258,38.247917
259,38.102928
260,38.057743
261,37.594601
262,37.206009
263,36.780895
264,35.653114
265,42.835682
266,40.306789
267,40.197224
268,39.462780
269,40.182213
270,39.602612
271,40.042362
272,39.948128
273,40.822186
274,40.236572
275,40.362194
276,39.977657
277,40.509342
278,39.484367
279,39.906666
280,39.622017
281,40.556431
282,39.662842
283,39.807823
284,39.497772
285,40.920658
286,39.724438
287,40.281193
288,39.948696
289,41.227985
290,40.434471
291,40.748203
292,40.427914
293,41.179375
294,40.354656
295,40.622528
296,40.385178
297,41.265865
298,40.428703
299,40.672413
300,40.473366
301,41.428871
302,40.721836
303,40.920738
304,40.790291
305,41.432205
306,40.888599
307,41.032448
308,40.796211
309,41.470478
310,40.815777
311,41.014938
312,40.766098
313,41.538536
314,40.771240
315,41.276901
316,40.915596
317,41.681072
318,40.966145
319,41.091984
320,40.924469
321,41.913406
322,41.113995
323,41.191586
324,41.150440
325,42.115009
326,41.377377
327,41.626751
328,41.368080
329,42.188259
330,41.390087
331,41.695709
332,41.303387
333,42.380405
334,41.644836
335,41.929958
336,41.653282
337,42.605438
338,41.805717
339,42.078621
340,41.763664
341,42.687588
342,41.944145
343,42.194126
344,41.946667
345,42.662807
346,41.975224
347,42.174217
348,41.853214
349,42.552238
350,41.641251
351,42.049782
352,41.710732
353,42.292389
354,41.474483
355,41.848122
356,41.462418
357,41.875664
358,41.179764
359,41.323074
360,40.836433
361,40.229553
362,47.538864
363,44.145695
364,43.995811
365,45.338741
366,44.315151
367,44.395599
368,44.045242
369,44.983421
370,43.916012
371,43.890236
372,43.611927
373,44.476257
374,43.374908
375,43.536098
376,43.359085
377,44.386753
378,43.464310
379,43.397739
380,43.408329
381,44.343971
382,43.423382
383,43.611443
384,43.486511
385,44.211941
386,43.575436
387,43.701733
388,43.577068
389,44.479336
390,43.611298
391,43.544315
392,44.337616
393,42.974255
394,44.049099
395,42.733875
396,43.687038
397,43.346603
398,43.268227
399,41.870918
400,42.269676
401,42.134151
402,44.305656
403,43.447243
404,43.086884
405,41.080593
406,41.592152
407,41.455338
408,43.050335
409,41.881588
410,42.193356
411,42.047729
412,42.961926
413,42.097408
414,42.159649
415,42.004189
416,41.976933
417,41.526318
418,47.823627
419,44.990276
420,44.528587
421,45.641373
422,43.328068
423,43.476364
424,42.311085
425,44.222237
426,41.652821
427,42.043610
428,41.797657
429,43.856468
430,42.047039
431,42.487053
432,42.248383
433,43.977512
434,42.021835
435,42.749901
436,42.504078
437,44.313862
438,42.599354
439,42.994370
440,42.546379
441,44.385208
442,42.713894
443,43.045208
444,42.513752
445,44.160385
446,42.445583
447,42.883839
448,42.397717
449,43.957932
450,42.339542
451,42.824097
452,42.336227
453,43.285049
454,42.246231
455,42.894947
456,43.261520
457,44.637020
458,44.303558
459,44.621521
460,44.241268
461,45.177612
462,43.576855
463,43.835026
464,42.913677
465,44.482059
466,42.726044
467,43.421097
468,42.770458
469,44.934608
470,42.581467
471,43.156017
472,42.642738
473,45.168541
474,42.501698
475,42.855103
476,42.583302
477,44.891560
478,42.561195
479,43.152855
480,42.895576
481,44.754951
482,43.102177
483,43.302170
484,42.990234
485,44.461048
486,42.896084
487,43.388660
488,42.877270
489,43.825249
490,42.606270
491,42.693611
492,42.107147
493,43.635704
494,42.112873
495,42.571381
496,41.983295
497,43.012985
498,41.770439
499,41.358459
average,40.034111
