frame,value
0,0.992213
1,0.985664
2,0.984922
3,0.984535
4,0.986573
5,0.982647
6,0.980956
7,0.984328
8,0.972975
9,0.960272
10,0.957952
11,0.893622
12,0.867284
13,0.856345
14,0.806000
15,0.846831
16,0.803170
17,0.848958
18,0.809281
19,0.857968
20,0.854725
21,0.861636
22,0.846302
23,0.801846
24,0.841271
25,0.847557
26,0.854642
27,0.851127
28,0.853383
29,0.853727
30,0.865008
31,0.864105
32,0.867487
33,0.876424
34,0.880672
35,0.884223
36,0.884696
37,0.886512
38,0.885251
39,0.880880
40,0.877971
41,0.878752
42,0.881593
43,0.888033
44,0.892773
45,0.888499
46,0.883717
47,0.889180
48,0.894385
49,0.897030
50,0.898968
51,0.900833
52,0.897296
53,0.891641
54,0.893350
55,0.896794
56,0.900516
57,0.905728
58,0.904827
59,0.901855
60,0.901574
61,0.904571
62,0.903549
63,0.903337
64,0.906874
65,0.957520
66,0.956789
67,0.954546
68,0.953957
69,0.954613
70,0.957968
71,0.957569
72,0.959145
73,0.960598
74,0.960493
75,0.959321
76,0.955468
77,0.957476
78,0.957924
79,0.958268
80,0.962226
81,0.957486
82,0.951457
83,0.948828
84,0.954046
85,0.956289
86,0.960469
87,0.957914
88,0.958311
89,0.955602
90,0.952693
91,0.951333
92,0.950338
93,0.948512
94,0.950551
95,0.947899
96,0.972440
97,0.953267
98,0.948575
99,0.947566
100,0.946607
101,0.928867
102,0.943444
103,0.926907
104,0.942761
105,0.924416
106,0.928161
107,0.946991
108,0.947031
109,0.949734
110,0.951335
111,0.953107
112,0.957713
113,0.958974
114,0.957410
115,0.970440
116,0.931494
117,0.952569
118,0.952282
119,0.935650
120,0.930593
121,0.949426
122,0.950508
123,0.950299
124,0.953331
125,0.955457
126,0.958330
127,0.959776
128,0.960316
129,0.960499
130,0.961754
131,0.961033
132,0.962137
133,0.962608
134,0.963975
135,0.963580
136,0.963507
137,0.964484
138,0.964328
139,0.963908
140,0.963375
141,0.962185
142,0.962484
143,0.963047
144,0.963596
145,0.963986
146,0.964922
147,0.965256
148,0.966189
149,0.966630
150,0.956921
151,0.966204
152,0.957286
153,0.966345
154,0.958050
155,0.963350
156,0.978814
157,0.971645
158,0.966293
159,0.962396
160,0.963199
161,0.963385
162,0.962169
163,0.962822
164,0.962236
165,0.963684
166,0.962318
167,0.962841
168,0.959940
169,0.957192
170,0.956551
171,0.955936
172,0.954994
173,0.955575
174,0.958087
175,0.959972
176,0.959717
177,0.958313
178,0.957079
179,0.958862
180,0.959973
181,0.961649
182,0.962705
183,0.960632
184,0.949338
185,0.949023
186,0.951683
187,0.956565
188,0.950863
189,0.951700
190,0.948971
191,0.948466
192,0.955899
193,0.961995
194,0.961310
195,0.962698
196,0.963661
197,0.964345
198,0.964928
199,0.962859
200,0.963736
201,0.962278
202,0.962733
203,0.957859
204,0.961146
205,0.961294
206,0.960629
207,0.955611
208,0.957264
209,0.958667
210,0.957599
211,0.955948
212,0.949609
213,0.954742
214,0.951676
215,0.955188
216,0.949145
217,0.948382
218,0.949405
219,0.943807
220,0.941417
221,0.940712
222,0.945119
223,0.941065
224,0.942074
225,0.940223
226,0.940581
227,0.938380
228,0.940745
229,0.944237
230,0.947617
231,0.952195
232,0.952581
233,0.954084
234,0.954870
235,0.958394
236,0.962437
237,0.964676
238,0.966688
239,0.963391
240,0.967391
241,0.963390
242,0.968075
243,0.969091
244,0.969994
245,0.970302
246,0.970682
247,0.970601
248,0.970616
249,0.970525
250,0.970183
251,0.965306
252,0.967705
253,0.964326
254,0.966134
255,0.963275
256,0.962797
257,0.964677
258,0.963500
259,0.963066
260,0.962941
261,0.961585
262,0.959024
263,0.956930
264,0.951151
265,0.982929
266,0.976470
267,0.974743
268,0.971825
269,0.976052
270,0.972172
271,0.972575
272,0.972896
273,0.977233
274,0.973180
275,0.971905
276,0.971287
277,0.975895
278,0.970753
279,0.970787
280,0.970441
281,0.974910
282,0.971014
283,0.969995
284,0.971234
285,0.976719
286,0.972447
287,0.973189
288,0.973295
289,0.978683
290,0.975749
291,0.977042
292,0.976770
293,0.978995
294,0.977116
295,0.977463
296,0.977233
297,0.978752
298,0.977611
299,0.977501
300,0.977631
301,0.978805
302,0.978232
303,0.978351
304,0.978248
305,0.978973
306,0.978555
307,0.978483
308,0.978400
309,0.979133
310,0.978518
311,0.978428
312,0.978159
313,0.978998
314,0.978730
315,0.979012
316,0.978494
317,0.979442
318,0.979176
319,0.979451
320,0.979419
321,0.980216
322,0.979725
323,0.979966
324,0.980275
325,0.980966
326,0.980714
327,0.981092
328,0.980874
329,0.981368
330,0.981018
331,0.981061
332,0.980909
333,0.981725
334,0.981582
335,0.981831
336,0.981529
337,0.982299
338,0.981955
339,0.982148
340,0.982124
341,0.982682
342,0.982524
343,0.982602
344,0.982583
345,0.982933
346,0.982597
347,0.982609
348,0.982591
349,0.982815
350,0.982711
351,0.982916
352,0.982501
353,0.982678
354,0.982360
355,0.982356
356,0.982073
357,0.982259
358,0.981874
359,0.981726
360,0.981273
361,0.980123
362,0.992420
363,0.985893
364,0.985725
365,0.988235
366,0.985693
367,0.985845
368,0.985748
369,0.987322
370,0.985463
371,0.984833
372,0.984850
373,0.986037
374,0.984472
375,0.984041
376,0.984226
377,0.985336
378,0.984190
379,0.983897
380,0.984528
381,0.985275
382,0.984744
383,0.984777
384,0.985078
385,0.985738
386,0.985653
387,0.984986
388,0.984923
389,0.986017
390,0.983620
391,0.984098
392,0.985249
393,0.983340
394,0.984833
395,0.982830
396,0.984286
397,0.983918
398,0.983801
399,0.981825
400,0.982029
401,0.983821
402,0.986239
403,0.984160
404,0.981246
405,0.977918
406,0.978220
407,0.978666
408,0.980753
409,0.979443
410,0.979597
411,0.979858
412,0.981464
413,0.980433
414,0.980253
415,0.980049
416,0.980539
417,0.980493
418,0.994984
419,0.991343
420,0.991131
421,0.992913
422,0.988994
423,0.988182
424,0.987131
425,0.988843
426,0.985278
427,0.984640
428,0.984731
429,0.986589
430,0.985558
431,0.985669
432,0.986039
433,0.986925
434,0.985103
435,0.984975
436,0.985492
437,0.986572
438,0.985715
439,0.985724
440,0.985763
441,0.986789
442,0.986265
443,0.985917
444,0.985610
445,0.986607
446,0.984999
447,0.984875
448,0.984372
449,0.985839
450,0.984177
451,0.984284
452,0.984594
453,0.985853
454,0.984280
455,0.985111
456,0.987821
457,0.990405
458,0.990542
459,0.990228
460,0.990014
461,0.992038
462,0.989143
463,0.987390
464,0.986492
465,0.988968
466,0.985678
467,0.985732
468,0.985417
469,0.987909
470,0.985085
471,0.985110
472,0.985876
473,0.988574
474,0.986287
475,0.986226
476,0.987337
