frame,value
0,35.710064
1,32.864128
2,31.568172
3,32.230415
4,31.189114
5,31.201632
6,29.166704
7,27.558531
8,24.873936
9,23.696596
10,22.400974
11,22.924170
12,22.029305
13,22.995846
14,22.957413
15,22.989952
16,23.238390
17,21.829285
18,22.950090
19,22.825655
20,23.015045
21,22.811943
22,22.544378
23,22.526848
24,21.809675
25,22.618013
26,22.257753
27,22.933874
28,22.723951
29,22.999941
30,22.637728
31,22.779722
32,22.757385
33,22.608540
34,22.263319
35,22.239412
36,23.732571
37,23.034798
38,22.629263
39,22.916271
40,22.767134
41,22.417559
42,22.777754
43,22.858616
44,22.743937
45,23.042356
46,23.002321
47,22.715158
48,22.732220
49,22.487703
50,22.446306
51,22.391146
52,22.924852
53,22.815180
54,22.591206
55,22.366751
56,22.516718
57,22.544687
58,22.235052
59,22.510927
60,23.001324
61,22.803064
62,22.860277
63,22.660585
64,22.463694
65,23.005095
66,23.578646
67,23.014910
68,23.906502
69,24.926140
70,24.619041
71,24.831120
72,23.893372
73,25.411638
74,24.941435
75,24.900297
76,24.218443
77,25.186020
78,24.402609
79,24.574743
80,25.507509
81,24.421267
82,24.405323
83,24.468678
84,24.294470
85,25.199738
86,24.458651
87,24.465351
88,24.411531
89,24.234352
90,23.844624
91,24.281891
92,24.508093
93,24.798525
94,23.967295
95,24.400066
96,24.649647
97,24.351862
98,23.949806
99,24.545444
100,22.690966
101,23.496391
102,22.862724
103,24.950947
104,22.956200
105,24.187531
106,23.039845
107,24.203432
108,23.811714
109,24.327789
110,24.648867
111,24.652279
112,24.571875
113,24.525154
114,24.803535
115,22.432606
116,22.559263
117,21.474388
118,22.568487
119,22.710979
120,21.323420
121,22.796448
122,22.841068
123,23.179224
124,23.117290
125,23.015217
126,23.204395
127,23.270807
128,23.153868
129,22.961376
130,22.764378
131,22.774481
132,22.547060
133,22.637569
134,22.810831
135,22.724808
136,22.859615
137,22.840780
138,22.781981
139,22.788715
140,22.697386
141,22.537348
142,22.534740
143,22.529821
144,22.335155
145,22.598104
146,22.624880
147,22.555620
148,22.569639
149,22.737135
150,20.812241
151,22.801388
152,20.863672
153,21.388067
154,21.231348
155,22.269728
156,22.559664
157,22.567307
158,22.471979
159,22.232782
160,22.696344
161,22.628117
162,22.788465
163,22.559856
164,22.837315
165,23.002604
166,21.829388
167,22.994043
168,22.618809
169,22.744223
170,22.920919
171,23.009476
172,23.070787
173,23.161062
174,23.698997
175,23.942175
176,23.353312
177,23.401789
178,24.103193
179,23.571283
180,23.481850
181,23.493818
182,22.562006
183,20.468697
184,20.612595
185,20.880810
186,21.431005
187,21.218023
188,21.378189
189,22.856432
190,21.736715
191,21.921219
192,23.257786
193,23.570068
194,23.109060
195,23.410688
196,23.530760
197,23.077524
198,23.173710
199,22.803511
200,22.777054
201,22.545174
202,22.395145
203,22.144871
204,22.483088
205,22.488207
206,22.766901
207,22.845345
208,21.545525
209,22.371944
210,22.311476
211,20.811235
212,22.271496
213,20.942272
214,22.123051
215,22.218008
216,20.835976
217,22.167130
218,20.662313
219,20.459936
220,21.741348
221,20.215109
222,20.842281
223,20.510582
224,21.614880
225,20.444048
226,20.476955
227,19.785418
228,19.898178
229,21.284590
230,20.137522
231,21.982323
232,20.687374
233,20.419325
234,22.171755
235,20.899134
236,22.529644
237,21.064936
238,22.917135
239,21.321428
240,23.087437
241,21.560200
242,23.042095
243,23.161612
244,23.167755
245,23.124352
246,23.205160
247,23.201567
248,23.139002
249,23.137224
250,24.830608
251,22.245749
252,23.494453
253,22.117088
254,23.071409
255,21.922512
256,21.948349
257,22.755884
258,22.409369
259,22.956156
260,22.572388
261,22.834133
262,22.143084
263,22.344326
264,22.553980
265,24.888645
266,23.568468
267,23.216801
268,23.701632
269,22.594242
270,22.993679
271,23.980078
272,23.444382
273,23.592960
274,23.414169
275,24.433674
276,23.314369
277,23.241526
278,23.157595
279,24.276142
280,23.368494
281,23.545111
282,24.463934
283,23.248535
284,23.424828
285,23.280239
286,24.133253
287,23.250313
288,23.431297
289,23.373508
290,24.332401
291,23.505215
292,23.718107
293,23.081503
294,23.370541
295,24.364613
296,23.724375
297,23.747017
298,24.556246
299,23.581915
300,23.395292
301,24.047195
302,23.590689
303,23.957659
304,24.744921
305,23.932182
306,23.755365
307,24.335527
308,23.943356
309,24.173407
310,24.828321
311,23.902109
312,23.691469
313,24.320749
314,24.029400
315,24.175959
316,24.930004
317,24.281597
318,24.449749
319,23.861246
320,24.090530
321,24.963680
322,24.279564
323,24.650934
324,24.184420
325,24.497311
326,25.048107
327,24.571867
328,24.755619
329,24.352442
330,24.590670
331,25.204454
332,24.725872
333,25.065006
334,24.643408
335,24.891129
336,25.538095
337,24.762745
338,24.580486
339,25.200727
340,24.847721
341,25.107874
342,25.662884
343,24.923082
344,24.877104
345,25.378218
346,25.059755
347,25.101957
348,25.697414
349,24.982582
350,24.959785
351,25.466307
352,25.140131
353,25.101311
354,25.581545
355,25.087446
356,25.113546
357,25.057009
358,25.420578
359,24.982597
360,24.697338
361,24.258854
362,29.257879
363,28.401970
364,27.851755
365,28.830290
366,28.361277
367,29.433941
368,28.400866
369,29.301367
370,28.234966
371,28.542662
372,28.024895
373,28.811134
374,27.911848
375,28.473810
376,28.193159
377,29.088776
378,28.353493
379,28.026499
380,29.095785
381,27.934271
382,27.842142
383,28.878918
384,28.605381
385,28.604145
386,29.374416
387,29.076643
388,29.155203
389,29.943996
390,29.189398
391,29.901785
392,28.495485
393,28.980923
394,27.631203
395,27.948689
396,27.384171
397,27.987997
398,27.293070
399,27.047760
400,28.038897
401,26.952829
402,27.762884
403,27.347656
404,26.857607
405,25.959869
406,25.876593
407,26.452133
408,25.677292
409,26.002851
410,26.112103
411,26.580828
412,26.400057
413,26.404497
414,25.891878
415,25.950930
416,26.439583
417,25.743086
418,29.126854
419,28.149246
420,27.839247
421,28.607441
422,27.581619
423,27.310989
424,27.748409
425,26.378025
426,26.389458
427,26.188196
428,26.786066
429,26.315784
430,26.866886
431,26.584101
432,26.909016
433,27.464920
434,26.975424
435,27.076828
436,27.139378
437,27.369894
438,27.831047
439,27.333382
440,27.430283
441,27.224312
442,27.313211
443,28.021351
444,27.390541
445,27.373560
446,27.235439
447,27.643530
448,27.097733
449,27.093849
450,26.738842
451,27.038486
452,27.645847
453,27.046764
454,27.338400
455,27.895815
456,29.182047
457,29.185232
458,30.099583
459,30.878920
460,30.172487
461,29.959454
462,29.594131
463,29.684965
464,28.995296
465,29.109339
466,29.177505
467,29.830141
468,29.301462
469,29.085379
470,29.492390
471,28.549578
472,28.396996
473,28.243610
474,28.717228
475,27.840624
476,27.838167
477,27.599771
478,27.733795
479,28.422165
480,27.969446
481,28.036640
482,27.759899
483,27.928064
484,28.551088
485,28.042610
486,27.930254
487,28.276302
488,27.922432
489,27.993103
490,28.535143
491,28.174166
492,28.172472
493,27.920055
494,28.041777
495,28.450268
496,28.111694
497,27.980433
498,27.782944
499,27.535643
average,24.653839
