frame,value
0,0.995852
1,0.993382
2,0.992027
3,0.993047
4,0.991020
5,0.990427
6,0.981736
7,0.969889
8,0.941696
9,0.918891
10,0.904432
11,0.915028
12,0.893351
13,0.912230
14,0.905209
15,0.905136
16,0.905692
17,0.891298
18,0.915662
19,0.918727
20,0.921247
21,0.925316
22,0.912498
23,0.910012
24,0.891137
25,0.915360
26,0.920116
27,0.922754
28,0.923961
29,0.926137
30,0.932060
31,0.935834
32,0.937850
33,0.939434
34,0.940754
35,0.937726
36,0.937147
37,0.940716
38,0.941035
39,0.940159
40,0.940182
41,0.942177
42,0.944275
43,0.947183
44,0.948215
45,0.947542
46,0.945825
47,0.946745
48,0.947181
49,0.946402
50,0.947184
51,0.944949
52,0.940198
53,0.938622
54,0.938604
55,0.939415
56,0.944340
57,0.947414
58,0.948076
59,0.945540
60,0.943664
61,0.946111
62,0.945230
63,0.945490
64,0.946996
65,0.974610
66,0.975276
67,0.975155
68,0.976205
69,0.975836
70,0.975983
71,0.976700
72,0.977150
73,0.977883
74,0.978345
75,0.977886
76,0.977146
77,0.977569
78,0.977628
79,0.978356
80,0.980094
81,0.978341
82,0.976485
83,0.974778
84,0.978147
85,0.978989
86,0.979583
87,0.978803
88,0.979076
89,0.977805
90,0.976182
91,0.974768
92,0.974544
93,0.974108
94,0.975449
95,0.974810
96,0.974574
97,0.974269
98,0.974908
99,0.975438
100,0.969219
101,0.974879
102,0.967960
103,0.974166
104,0.967339
105,0.974312
106,0.967992
107,0.975163
108,0.974775
109,0.976406
110,0.977016
111,0.978370
112,0.979475
113,0.980840
114,0.981079
115,0.980022
116,0.976987
117,0.971435
118,0.977688
119,0.978023
120,0.971539
121,0.979504
122,0.979084
123,0.979330
124,0.979498
125,0.980153
126,0.981191
127,0.981401
128,0.981194
129,0.981478
130,0.981614
131,0.981492
132,0.981449
133,0.982159
134,0.982624
135,0.982662
136,0.983186
137,0.983337
138,0.983430
139,0.983378
140,0.983518
141,0.983215
142,0.983183
143,0.983421
144,0.983719
145,0.984217
146,0.984367
147,0.984429
148,0.984769
149,0.985029
150,0.982129
151,0.985296
152,0.982250
153,0.982800
154,0.982251
155,0.983020
156,0.983502
157,0.984399
158,0.984799
159,0.984394
160,0.984954
161,0.985092
162,0.985095
163,0.984861
164,0.984895
165,0.984894
166,0.981023
167,0.984981
168,0.983911
169,0.983250
170,0.983204
171,0.983150
172,0.982748
173,0.983068
174,0.983488
175,0.983841
176,0.984208
177,0.984164
178,0.984384
179,0.984714
180,0.985143
181,0.985023
182,0.985394
183,0.960116
184,0.962924
185,0.965883
186,0.974858
187,0.975689
188,0.977080
189,0.978831
190,0.977209
191,0.977507
192,0.981148
193,0.982461
194,0.982225
195,0.982342
196,0.982726
197,0.983149
198,0.982822
199,0.982419
200,0.982782
201,0.982111
202,0.982235
203,0.979208
204,0.981320
205,0.982009
206,0.981722
207,0.980985
208,0.978719
209,0.980706
210,0.980566
211,0.977528
212,0.979552
213,0.977681
214,0.979523
215,0.979145
216,0.976465
217,0.978201
218,0.975001
219,0.973528
220,0.976196
221,0.971614
222,0.972369
223,0.971474
224,0.975058
225,0.971418
226,0.971492
227,0.969842
228,0.970192
229,0.976123
230,0.976142
231,0.979767
232,0.978270
233,0.978570
234,0.981169
235,0.980319
236,0.982908
237,0.981839
238,0.984234
239,0.983169
240,0.984842
241,0.983352
242,0.984644
243,0.984850
244,0.985357
245,0.985589
246,0.985998
247,0.986040
248,0.985946
249,0.985858
250,0.991221
251,0.986330
252,0.986593
253,0.984348
254,0.985506
255,0.983124
256,0.982741
257,0.984295
258,0.982848
259,0.984092
260,0.982482
261,0.982999
262,0.980134
263,0.979103
264,0.977389
265,0.991783
266,0.988740
267,0.987745
268,0.988445
269,0.986579
270,0.986598
271,0.988712
272,0.987292
273,0.987163
274,0.986963
275,0.988834
276,0.986644
277,0.986710
278,0.986047
279,0.988068
280,0.986161
281,0.985908
282,0.988208
283,0.985857
284,0.986696
285,0.986460
286,0.989628
287,0.987800
288,0.988552
289,0.988642
290,0.990566
291,0.989432
292,0.989849
293,0.989234
294,0.989251
295,0.990562
296,0.989923
297,0.989771
298,0.990866
299,0.989576
300,0.989476
301,0.990076
302,0.989615
303,0.989882
304,0.990979
305,0.990072
306,0.989980
307,0.990520
308,0.989874
309,0.989926
310,0.991086
311,0.990080
312,0.990013
313,0.990689
314,0.990024
315,0.990214
316,0.991262
317,0.990585
318,0.990862
319,0.990198
320,0.990372
321,0.991537
322,0.990831
323,0.991034
324,0.990701
325,0.990896
326,0.991972
327,0.991329
328,0.991543
329,0.990993
330,0.991039
331,0.992142
332,0.991527
333,0.991796
334,0.991404
335,0.991543
336,0.992591
337,0.991638
338,0.991535
339,0.992207
340,0.991715
341,0.991807
342,0.992754
343,0.991956
344,0.991839
345,0.992394
346,0.991921
347,0.991906
348,0.992704
349,0.991902
350,0.991787
351,0.992286
352,0.991754
353,0.991751
354,0.992469
355,0.991777
356,0.991928
357,0.991677
358,0.992082
359,0.991372
360,0.991096
361,0.990116
362,0.994827
363,0.992938
364,0.992878
365,0.994510
366,0.993271
367,0.994319
368,0.993175
369,0.994332
370,0.993047
371,0.993084
372,0.992773
373,0.994022
374,0.992432
375,0.992566
376,0.992494
377,0.993677
378,0.992670
379,0.992655
380,0.993836
381,0.992304
382,0.992307
383,0.992925
384,0.992436
385,0.992596
