frame,value
0,49.936646
1,46.222446
2,46.344746
3,45.596321
4,46.858765
5,44.878918
6,43.820148
7,44.658722
8,41.109482
9,38.791630
10,37.728558
11,32.736797
12,31.292282
13,31.031727
14,29.625340
15,30.753263
16,29.663797
17,31.032446
18,30.043705
19,31.436771
20,31.256260
21,31.583429
22,31.395906
23,30.591038
24,31.983183
25,32.374928
26,32.879997
27,32.991638
28,33.230656
29,33.311047
30,33.543053
31,33.896503
32,33.756809
33,33.822571
34,33.676811
35,33.210213
36,33.381557
37,33.508774
38,33.649475
39,33.725071
40,34.191269
41,34.309464
42,34.410522
43,34.551010
44,34.662266
45,34.576122
46,34.415031
47,34.518631
48,34.452332
49,34.401989
50,34.398540
51,34.204193
52,33.900658
53,33.753082
54,33.590614
55,33.753922
56,34.073952
57,34.339329
58,34.360741
59,34.271336
60,34.176613
61,33.986118
62,33.987759
63,34.141914
64,34.176903
65,40.474903
66,40.775002
67,40.566509
68,40.401722
69,40.661751
70,40.886948
71,41.049500
72,41.118477
73,41.415138
74,41.926537
75,42.509266
76,41.935017
77,41.958580
78,42.140125
79,42.066010
80,42.459343
81,41.160099
82,40.199394
83,39.319862
84,40.198795
85,40.666943
86,40.553364
87,39.890270
88,39.573784
89,39.134724
90,38.925442
91,38.731930
92,38.635258
93,38.570091
94,38.579891
95,38.451118
96,40.315613
97,38.586365
98,38.553471
99,38.373585
100,38.508263
101,37.527050
102,38.680325
103,37.596870
104,38.784538
105,37.578449
106,37.876728
107,39.402977
108,38.936909
109,39.340553
110,39.735210
111,39.970985
112,40.074207
113,40.335133
114,40.346886
115,39.924446
116,36.923939
117,37.942818
118,37.729069
119,36.556129
120,36.538742
121,38.180725
122,38.022472
123,37.996292
124,38.115665
125,38.083630
126,38.228760
127,38.357674
128,38.111343
129,37.928421
130,37.721428
131,37.454247
132,37.410290
133,37.478096
134,37.518318
135,37.553623
136,37.679840
137,37.803734
138,37.735909
139,37.657684
140,37.623901
141,37.506027
142,37.493843
143,37.532001
144,37.599133
145,37.890892
146,37.978691
147,37.969376
148,38.032368
149,38.133202
150,37.379803
151,38.422459
152,37.689117
153,38.483776
154,37.593330
155,37.849667
156,42.545513
157,40.701065
158,40.680286
159,40.509857
160,40.633648
161,40.555649
162,40.347744
163,40.300789
164,40.340889
165,40.408699
166,40.390888
167,40.445988
168,40.228634
169,40.074600
170,40.176853
171,40.341648
172,40.195717
173,40.270359
174,40.281033
175,40.715839
176,40.941227
177,40.829700
178,41.017426
179,40.943459
180,40.950840
181,40.664524
182,40.724255
183,39.800968
184,37.272163
185,37.300037
186,37.184681
187,37.732540
188,37.547718
189,38.052914
190,38.962620
191,38.255573
192,39.636097
193,39.914989
194,39.887398
195,40.105610
196,40.148861
197,40.103577
198,40.130562
199,39.670803
200,39.483917
201,39.202271
202,39.226528
203,38.761707
204,39.351040
205,39.327568
206,39.162941
207,38.441502
208,39.211063
209,38.935005
210,38.687206
211,38.347095
212,37.622219
213,38.604404
214,37.881115
215,38.489655
216,37.527843
217,37.286823
218,38.099041
219,36.556561
220,36.755478
221,36.699921
222,37.738834
223,36.637089
224,36.777863
225,36.543320
226,37.210094
227,36.265007
228,36.548923
229,36.869732
230,37.770672
231,37.713036
232,37.378899
233,37.437801
234,37.489811
235,38.624092
236,38.304703
237,38.450481
238,38.646877
239,38.327557
240,38.827682
241,38.258007
242,38.675678
243,38.570766
244,38.559704
245,38.739784
246,38.718616
247,38.646523
248,38.724579
249,38.708794
250,38.695095
251,38.540337
252,39.005188
253,38.605221
254,38.951336
255,38.430431
256,38.382305
257,38.862740
258,38.533073
259,38.331856
260,38.473335
261,37.866043
262,37.410961
263,36.898815
264,36.025330
265,43.445374
266,40.681419
267,40.478416
268,39.664223
269,40.593121
270,39.775547
271,40.371658
272,40.172802
273,41.167992
274,40.478836
275,40.548912
276,40.095005
277,40.846504
278,39.753193
279,40.186111
280,39.782333
281,40.930882
282,39.865574
283,40.100754
284,39.700951
285,41.277306
286,39.907459
287,40.553352
288,40.185200
289,41.675446
290,40.645210
291,41.014339
292,40.681190
293,41.627392
294,40.639790
295,40.944157
296,40.678631
297,41.667778
298,40.666313
299,40.944672
300,40.737045
301,41.842949
302,40.975929
303,41.195557
304,41.020645
305,41.834023
306,41.136086
307,41.350727
308,41.054146
309,41.905792
310,41.162647
311,41.307095
312,41.015182
313,41.953758
314,41.031166
315,41.557671
316,41.216473
317,42.092579
318,41.204388
319,41.336582
320,41.199944
321,42.267494
322,41.340130
323,41.439598
324,41.377304
325,42.464703
326,41.536762
327,41.828152
328,41.546616
329,42.584530
330,41.622845
331,41.950596
332,41.496277
333,42.772190
334,41.785892
335,42.201092
336,41.904064
337,42.989346
338,42.030575
339,42.301025
340,41.975994
341,43.039742
342,42.160671
343,42.449593
344,42.122185
345,43.021713
346,42.198334
347,42.422794
348,42.059795
349,42.898369
350,41.816525
351,42.301731
352,41.904987
353,42.623905
354,41.629421
355,42.022415
356,41.649677
357,42.172379
358,41.271549
359,41.438015
360,40.928253
361,40.420334
362,48.125896
363,44.339237
364,44.136497
365,45.791538
366,44.401756
367,44.590054
368,44.189850
369,45.494049
370,44.119995
371,44.152000
372,43.827446
373,45.054745
374,43.552258
375,43.744610
376,43.534000
377,44.916447
378,43.569294
379,43.711311
380,43.653469
381,44.864719
382,43.676769
383,43.883522
384,43.734310
385,44.599937
386,43.647842
387,43.918228
388,43.724785
389,44.968414
390,43.858685
391,43.655071
392,44.845596
393,43.224777
394,44.557816
395,43.004982
396,44.219902
397,43.790955
398,43.752281
399,42.054653
400,42.512989
401,42.309010
402,44.894989
403,44.178852
404,43.880833
405,41.535179
406,42.163567
407,41.935349
408,44.032940
409,42.468536
410,42.764507
411,42.565136
412,43.679955
413,42.614216
414,42.712097
415,42.476177
416,42.545876
417,42.027775
418,48.386444
419,45.058697
420,44.555893
421,45.972126
422,43.295399
423,43.632080
424,42.483013
