frame,value
0,0.987330
1,0.973456
2,0.971671
3,0.968210
4,0.976007
5,0.968230
6,0.962579
7,0.970968
8,0.945038
9,0.925228
10,0.926912
11,0.837447
12,0.797599
13,0.784011
14,0.704869
15,0.769088
16,0.706290
17,0.780533
18,0.722643
19,0.784331
20,0.785622
21,0.792973
22,0.770076
23,0.708988
24,0.763007
25,0.766970
26,0.775200
27,0.765240
28,0.765432
29,0.760381
30,0.772924
31,0.778290
32,0.783337
33,0.793770
34,0.801269
35,0.807851
36,0.813053
37,0.812469
38,0.811289
39,0.797438
40,0.802723
41,0.808298
42,0.811675
43,0.820852
44,0.822247
45,0.820608
46,0.818976
47,0.820957
48,0.827205
49,0.831327
50,0.833459
51,0.834985
52,0.824567
53,0.816610
54,0.813352
55,0.817049
56,0.827627
57,0.835073
58,0.834523
59,0.829869
60,0.833121
61,0.838125
62,0.836636
63,0.835458
64,0.837835
65,0.910373
66,0.917828
67,0.913395
68,0.911296
69,0.908421
70,0.918833
71,0.917403
72,0.917976
73,0.919887
74,0.921814
75,0.916442
76,0.910046
77,0.911237
78,0.912798
79,0.916111
80,0.924646
81,0.913836
82,0.906136
83,0.901425
84,0.910592
85,0.913735
86,0.917010
87,0.915994
88,0.915362
89,0.909405
90,0.908470
91,0.904022
92,0.903001
93,0.902901
94,0.903123
95,0.899984
96,0.951642
97,0.915628
98,0.901630
99,0.895753
100,0.894185
101,0.859983
102,0.885692
103,0.848887
104,0.880300
105,0.851288
106,0.850676
107,0.886993
108,0.893489
109,0.899296
110,0.901292
111,0.904619
112,0.913125
113,0.913825
114,0.909109
115,0.945399
116,0.863154
117,0.903956
118,0.900900
119,0.864108
120,0.856060
121,0.891801
122,0.893006
123,0.894685
124,0.897059
125,0.904019
126,0.909899
127,0.911121
128,0.916091
129,0.916667
130,0.919896
131,0.914751
132,0.919305
133,0.921855
134,0.923948
135,0.924660
136,0.924560
137,0.923647
138,0.921499
139,0.920373
140,0.918419
141,0.916335
142,0.915777
143,0.915328
144,0.914983
145,0.917827
146,0.917395
147,0.919399
148,0.923880
149,0.924321
150,0.898782
151,0.923343
152,0.900500
153,0.922027
154,0.901974
155,0.914086
156,0.958055
157,0.943768
158,0.931432
159,0.917543
160,0.913465
161,0.917558
162,0.915517
163,0.915243
164,0.919231
165,0.918172
166,0.919255
167,0.918036
168,0.910999
169,0.905088
170,0.900609
171,0.901334
172,0.902765
173,0.902518
174,0.904835
175,0.910458
176,0.910424
177,0.911435
178,0.910694
179,0.912709
180,0.914633
181,0.917202
182,0.917735
183,0.928877
184,0.905588
185,0.907588
186,0.900460
187,0.919998
188,0.903466
189,0.897662
190,0.904867
191,0.898462
192,0.907813
193,0.919751
194,0.917532
195,0.920227
196,0.921211
197,0.921163
198,0.923803
199,0.922302
200,0.920122
201,0.918554
202,0.919387
203,0.910549
204,0.918511
205,0.918856
206,0.919354
207,0.898773
208,0.908599
209,0.909683
210,0.909473
211,0.907854
212,0.891747
213,0.906058
214,0.898502
215,0.911259
216,0.896608
217,0.893067
218,0.903137
219,0.889339
220,0.889381
221,0.888020
222,0.895279
223,0.888185
224,0.888547
225,0.888888
226,0.893725
227,0.880917
228,0.888754
229,0.888223
230,0.899988
231,0.906921
232,0.900216
233,0.909131
234,0.906378
235,0.917554
236,0.922006
237,0.925177
238,0.929113
239,0.916667
240,0.929550
241,0.926512
242,0.934993
243,0.937575
244,0.938315
245,0.938275
246,0.938992
247,0.939557
248,0.939222
249,0.939856
250,0.939868
251,0.925179
252,0.936651
253,0.925202
254,0.934299
255,0.923270
256,0.921982
257,0.931860
258,0.924116
259,0.922715
260,0.930046
261,0.925156
262,0.920816
263,0.918822
264,0.913892
265,0.967234
266,0.953618
267,0.950030
268,0.944506
269,0.953154
270,0.943355
271,0.943969
272,0.946823
273,0.954179
274,0.946143
275,0.942166
276,0.942649
277,0.951251
278,0.940247
279,0.940163
280,0.940326
281,0.949311
282,0.940223
283,0.940691
284,0.941558
285,0.952248
286,0.942794
287,0.944072
288,0.945348
289,0.956571
290,0.950616
291,0.952230
292,0.952334
293,0.957212
294,0.953525
295,0.953654
296,0.953746
297,0.957587
298,0.955271
299,0.954993
300,0.954781
301,0.958052
302,0.956729
303,0.957221
304,0.957298
305,0.958141
306,0.956385
307,0.956638
308,0.955897
309,0.957629
310,0.956051
311,0.956412
312,0.955494
313,0.957623
314,0.956172
315,0.957037
316,0.956611
317,0.958491
318,0.957093
319,0.958145
320,0.958068
321,0.959755
322,0.958230
323,0.958869
324,0.959103
325,0.960809
326,0.959810
327,0.960316
328,0.959941
329,0.961014
330,0.960102
331,0.960764
332,0.960783
333,0.962323
334,0.961605
335,0.962157
336,0.961999
337,0.963469
338,0.962437
339,0.963393
340,0.963288
341,0.964641
342,0.964014
343,0.964388
344,0.963756
345,0.965185
346,0.964330
347,0.964664
348,0.963883
349,0.965035
350,0.964180
351,0.964415
352,0.964014
353,0.964914
354,0.963718
355,0.963832
356,0.963359
357,0.964094
358,0.962577
359,0.962342
360,0.961262
361,0.959881
362,0.986201
363,0.972576
364,0.971878
365,0.977440
366,0.972144
367,0.971505
368,0.971185
369,0.975021
370,0.971143
371,0.969264
372,0.969541
373,0.972527
374,0.969235
375,0.968258
376,0.967591
377,0.970432
378,0.968881
379,0.968709
380,0.969127
381,0.971529
382,0.969563
383,0.970161
384,0.970073
385,0.972701
386,0.970770
387,0.970438
388,0.969566
389,0.972567
390,0.968124
391,0.968131
392,0.971620
393,0.967959
394,0.970830
395,0.967263
396,0.969226
397,0.968935
398,0.968035
399,0.964534
400,0.964642
401,0.967570
402,0.972238
403,0.969936
404,0.965052
405,0.958781
406,0.958824
407,0.959838
408,0.962752
409,0.960788
410,0.960841
411,0.961717
412,0.964316
413,0.962727
414,0.962494
415,0.961586
416,0.962585
417,0.961647
418,0.991048
419,0.983121
420,0.982594
421,0.986766
422,0.979067
423,0.978175
424,0.976935
425,0.979445
426,0.973345
427,0.971683
428,0.971958
429,0.974514
430,0.973366
431,0.973500
432,0.973547
433,0.975513
434,0.973356
435,0.973108
436,0.973188
437,0.974467
438,0.973678
439,0.973345
440,0.973334
441,0.975108
442,0.974304
443,0.973660
444,0.973399
445,0.974658
446,0.972573
447,0.971284
448,0.970773
449,0.972241
450,0.970295
451,0.970353
452,0.970759
453,0.972973
454,0.970420
455,0.972820
456,0.976606
457,0.982612
458,0.982494
459,0.981428
460,0.981010
461,0.985096
462,0.980026
463,0.976948
464,0.974620
465,0.979492
466,0.972069
467,0.971632
468,0.971389
469,0.977506
470,0.972807
471,0.972230
472,0.973795
473,0.977962
474,0.975330
475,0.975541
476,0.977426
477,0.979259
478,0.978277
479,0.978291
480,0.978604
481,0.979434
482,0.979347
483,0.978968
484,0.978955
485,0.979406
486,0.979202
487,0.979139
488,0.978979
489,0.979235
490,0.979142
491,0.978826
492,0.978529
493,0.978395
494,0.977333
495,0.976255
496,0.976625
497,0.976449
498,0.975547
499,0.973002
average,0.926001
