frame,value
0,52.634083
1,49.615700
2,48.598087
3,49.752151
4,48.088158
5,46.657185
6,47.348015
7,43.734554
8,41.139248
9,39.940510
10,36.081337
11,34.294586
12,33.134235
13,32.861828
14,31.811558
15,32.730152
16,31.795435
17,32.895447
18,32.275478
19,33.448612
20,33.318604
21,33.606186
22,33.415859
23,32.815632
24,33.988102
25,34.359318
26,34.852947
27,34.936249
28,35.116375
29,35.278290
30,35.518948
31,35.808456
32,35.657852
33,35.633816
34,35.469402
35,35.022545
36,35.183781
37,35.319202
38,35.428139
39,35.462917
40,35.977089
41,36.144783
42,36.196091
43,36.346588
44,36.458866
45,36.321266
46,36.174191
47,36.308613
48,36.207233
49,36.137165
50,36.082672
51,36.039806
52,35.655315
53,35.475391
54,35.327682
55,35.443253
56,35.763237
57,36.125664
58,36.088802
59,36.042278
60,35.979927
61,35.740387
62,35.724777
63,35.910206
64,35.910992
65,42.032944
66,42.384842
67,42.244667
68,42.232063
69,42.376583
70,42.540241
71,42.666206
72,42.824783
73,43.147484
74,43.632278
75,44.227776
76,43.763760
77,43.709042
78,43.780121
79,43.828197
80,44.150585
81,42.914463
82,42.142998
83,41.339661
84,42.105064
85,42.589508
86,42.378941
87,41.669067
88,41.432190
89,41.064537
90,40.801750
91,40.538071
92,40.475136
93,40.324471
94,40.397182
95,39.299294
96,40.461884
97,40.211430
98,40.321472
99,40.253441
100,40.400658
101,39.414890
102,40.645901
103,39.578773
104,40.776718
105,39.693970
106,39.821033
107,41.362595
108,40.874645
109,41.300903
110,41.618305
111,41.909607
112,41.992046
113,42.256550
114,42.248814
115,42.000153
116,39.965473
117,38.805798
118,40.071827
119,38.960873
120,38.825562
121,40.202919
122,40.104786
123,40.186916
124,40.200138
125,40.158352
126,40.324791
127,40.382847
128,40.173965
129,40.000576
130,39.815487
131,39.547176
132,39.539097
133,39.600277
134,39.673805
135,39.714970
136,39.854588
137,40.002876
138,39.944695
139,39.942509
140,39.874714
141,39.731186
142,39.786388
143,39.787922
144,39.851830
145,40.095089
146,40.184975
147,40.243069
148,40.252232
149,40.299393
150,39.608871
151,40.599434
152,39.695904
153,40.020466
154,39.724979
155,39.967251
156,42.687176
157,42.614933
158,42.581169
159,42.614285
160,42.771233
161,42.717918
162,42.563324
163,42.491905
164,42.506149
165,42.588753
166,42.548668
167,42.584984
168,42.303669
169,42.229572
170,42.336639
171,42.429520
172,42.233746
173,42.346855
174,42.364731
175,42.759785
176,43.009632
177,42.869167
178,43.161976
179,43.051800
180,43.108074
181,42.771244
182,42.844528
183,42.391109
184,39.517555
185,39.844879
186,38.834244
187,39.257374
188,39.588737
189,41.417618
190,40.372089
191,40.418308
192,42.082470
193,42.107952
194,42.026451
195,42.220589
196,42.194534
197,42.226398
198,42.212036
199,41.809849
200,41.633518
201,41.338024
202,41.332626
203,40.895332
204,41.481850
205,41.460560
206,41.349075
207,40.494423
208,41.503250
209,41.189533
210,40.934513
211,40.657425
212,39.859230
213,40.940193
214,40.710979
215,39.885941
216,39.705013
217,40.671356
218,39.216255
219,38.909500
220,40.238804
221,38.844715
222,39.030109
223,38.774345
224,39.887962
225,38.637989
226,38.614681
227,38.373512
228,39.324043
229,38.900768
230,39.548763
231,39.419640
232,40.581600
233,39.716022
234,40.216770
235,39.752094
236,40.548878
237,40.554920
238,40.810673
239,40.314178
240,41.034252
241,40.307957
242,40.843246
243,40.656452
244,40.706394
245,40.843864
246,40.820488
247,40.813290
248,40.397903
249,40.529724
250,41.516727
251,40.636997
252,41.361809
253,40.597198
254,41.395317
255,40.529541
256,41.137691
257,40.577396
258,41.040062
259,40.583466
260,40.446495
261,40.706741
262,39.668491
263,39.171249
264,38.364300
265,45.800716
266,42.654171
267,42.632751
268,41.780117
269,42.718105
270,42.066422
271,42.035549
272,43.216038
273,42.532009
274,42.343483
275,43.196068
276,42.186989
277,42.469006
278,41.804459
279,42.836761
280,42.088337
281,41.916348
282,43.295708
283,41.965313
284,42.457798
285,41.932446
286,43.664055
287,42.301384
288,42.776775
289,42.626171
290,44.053707
291,42.865307
292,43.174641
293,42.758408
294,43.888031
295,43.040169
296,42.823360
297,44.093811
298,42.817856
299,43.144615
300,42.844551
301,44.327343
302,43.067173
303,43.372032
304,43.069233
305,44.270638
306,43.247543
307,43.597950
308,43.170116
309,44.351170
310,43.446335
311,43.177860
312,44.409821
313,43.291260
314,43.485168
315,43.327003
316,44.482491
317,43.592350
318,43.287983
319,44.709419
320,43.388165
321,43.782379
322,43.399860
323,44.872856
324,43.556789
325,44.103600
326,43.656239
327,45.064926
328,44.028160
329,43.753342
330,45.118988
331,43.868031
332,44.051212
333,43.889832
334,45.408855
335,44.053040
336,44.465660
337,43.862576
338,45.597729
339,44.190731
340,44.473404
341,44.258503
342,45.643440
343,44.295490
344,44.682846
345,44.255146
346,45.562191
347,44.327259
348,44.639381
349,44.233528
350,45.434486
351,44.194706
352,44.506088
353,44.063789
354,45.079437
355,43.981358
356,44.209671
357,43.737682
358,44.371429
359,43.406288
360,43.162216
361,42.677097
362,50.038254
363,46.398209
364,47.762932
365,46.710228
366,47.770535
367,46.544880
368,47.454102
369,46.440094
370,46.076088
371,47.199692
372,46.016201
373,45.713867
374,47.147915
375,45.952881
376,45.644791
377,47.044544
378,45.697437
379,45.925442
380,45.713089
381,47.252476
382,45.822113
383,46.160301
384,45.811470
385,46.814816
386,45.674484
387,46.068573
388,45.801159
389,47.171154
390,46.003345
391,47.058651
392,45.613369
393,46.845211
394,45.169086
395,46.630219
396,44.763351
397,46.248253
398,45.958984
399,44.108391
400,44.889133
401,44.385246
402,47.118095
403,46.512272
404,46.403625
405,43.988491
406,44.039955
407,46.433704
408,44.469830
409,45.030010
410,44.593536
411,46.253101
412,44.691101
413,45.026440
414,44.696381
415,45.230415
416,44.341022
417,44.105160
418,50.288738
419,46.913929
420,46.388569
421,47.838131
422,45.419514
423,45.723232
424,44.537632
425,46.854271
426,43.908051
427,44.586475
428,43.983784
429,46.637684
430,44.185074
431,44.903259
432,44.363911
433,46.790363
434,44.336163
435,45.329052
436,44.747303
437,47.009792
438,44.719559
439,45.327271
440,44.670151
441,46.950279
442,44.834362
443,44.664677
444,46.514488
445,45.128326
446,44.691910
447,46.802357
448,44.533997
449,45.211643
450,44.438801
451,46.279617
452,44.870895
453,44.337601
454,45.764912
455,44.870445
456,45.787926
457,45.592010
458,47.280857
459,46.324123
460,46.081318
461,47.199997
462,45.640312
463,46.137432
464,45.156635
465,46.813080
466,45.462646
467,45.081867
468,47.159122
469,45.396736
470,44.894028
471,47.543148
472,44.769680
473,45.387394
474,44.618435
475,47.492443
476,44.470394
477,45.044575
478,44.489685
479,47.281990
480,44.805500
481,45.322102
482,44.751110
483,47.052345
484,44.877384
485,45.294792
486,44.717880
487,46.559010
488,44.710983
489,45.173351
490,44.535381
491,45.863785
492,44.196270
493,45.006710
494,44.153904
495,45.845165
496,44.024143
497,44.729687
498,43.673851
499,43.736980
average,42.241505
