frame,value
0,0.989779
1,0.981456
2,0.976829
3,0.981462
4,0.976706
5,0.972664
6,0.977463
7,0.959602
8,0.944507
9,0.942709
10,0.884638
11,0.865246
12,0.842463
13,0.835572
14,0.761389
15,0.827786
16,0.757820
17,0.829084
18,0.772242
19,0.839223
20,0.838546
21,0.844093
22,0.827552
23,0.758245
24,0.822057
25,0.825482
26,0.832425
27,0.829450
28,0.833158
29,0.832394
30,0.842141
31,0.844587
32,0.845406
33,0.851388
34,0.855010
35,0.856445
36,0.857938
37,0.863450
38,0.859243
39,0.855015
40,0.852459
41,0.857126
42,0.857259
43,0.863935
44,0.865752
45,0.862417
46,0.857396
47,0.862702
48,0.867403
49,0.868575
50,0.870378
51,0.868594
52,0.860106
53,0.854166
54,0.856506
55,0.860698
56,0.867837
57,0.873394
58,0.869694
59,0.868113
60,0.869297
61,0.871379
62,0.871354
63,0.868547
64,0.869718
65,0.924702
66,0.927434
67,0.925303
68,0.924528
69,0.924946
70,0.928466
71,0.925314
72,0.928643
73,0.932026
74,0.930508
75,0.926474
76,0.924548
77,0.926435
78,0.926612
79,0.929398
80,0.932656
81,0.925899
82,0.919472
83,0.917877
84,0.925275
85,0.929433
86,0.931039
87,0.930250
88,0.930294
89,0.926110
90,0.922385
91,0.917655
92,0.919230
93,0.917364
94,0.921106
95,0.883722
96,0.915865
97,0.917377
98,0.916107
99,0.918850
100,0.916887
101,0.879727
102,0.909165
103,0.872708
104,0.908717
105,0.872304
106,0.873287
107,0.910508
108,0.914416
109,0.916452
110,0.920491
111,0.922973
112,0.929330
113,0.929943
114,0.926478
115,0.949679
116,0.921416
117,0.887002
118,0.919646
119,0.885453
120,0.879236
121,0.919173
122,0.918218
123,0.920426
124,0.922702
125,0.926142
126,0.929481
127,0.931914
128,0.934855
129,0.934519
130,0.935601
131,0.933480
132,0.936297
133,0.938539
134,0.939397
135,0.940237
136,0.940160
137,0.941644
138,0.941078
139,0.940438
140,0.939273
141,0.936383
142,0.934865
143,0.935832
144,0.936997
145,0.938416
146,0.939180
147,0.939496
148,0.941587
149,0.942331
150,0.917999
151,0.942881
152,0.913653
153,0.923629
154,0.917273
155,0.933572
156,0.939111
157,0.942094
158,0.940171
159,0.934115
160,0.935906
161,0.937033
162,0.935731
163,0.934824
164,0.935169
165,0.937111
166,0.936088
167,0.936159
168,0.930477
169,0.926611
170,0.926790
171,0.927527
172,0.925823
173,0.924361
174,0.927840
175,0.931552
176,0.931531
177,0.931711
178,0.932444
179,0.934287
180,0.936393
181,0.937547
182,0.938605
183,0.935145
184,0.912819
185,0.925901
186,0.909171
187,0.913604
188,0.906397
189,0.922420
190,0.906908
