frame,value
0,0.974349
1,0.931307
2,0.921943
3,0.913565
4,0.951248
5,0.916299
6,0.908589
7,0.948079
8,0.840847
9,0.810552
10,0.668401
11,0.624582
12,0.592133
13,0.576441
14,0.570186
15,0.575265
16,0.514331
17,0.614011
18,0.531322
19,0.616321
20,0.574363
21,0.567638
22,0.521362
23,0.442205
24,0.520568
25,0.480235
26,0.473875
27,0.463807
28,0.456550
29,0.445063
30,0.465867
31,0.479584
32,0.503830
33,0.516149
34,0.531059
35,0.533560
36,0.541029
37,0.538058
38,0.525241
39,0.523279
40,0.518432
41,0.506283
42,0.504067
43,0.518183
44,0.525059
45,0.526867
46,0.529569
47,0.550165
48,0.572383
49,0.581769
50,0.581605
51,0.603222
52,0.597933
53,0.565629
54,0.559422
55,0.534984
56,0.535293
57,0.562285
58,0.568786
59,0.552614
60,0.547576
61,0.548803
62,0.547440
63,0.549177
64,0.551787
65,0.805039
66,0.729408
67,0.704201
68,0.660104
69,0.649497
70,0.683186
71,0.688896
72,0.691077
73,0.654163
74,0.675060
75,0.702559
76,0.643189
77,0.639513
78,0.668607
79,0.632529
80,0.653073
81,0.623664
82,0.623983
83,0.656841
84,0.665328
85,0.665766
86,0.683321
87,0.681493
88,0.656693
89,0.605148
90,0.596218
91,0.588006
92,0.590255
93,0.573001
94,0.586853
95,0.584357
96,0.567802
97,0.571502
98,0.562177
99,0.917528
100,0.666364
101,0.601654
102,0.574304
103,0.491614
104,0.559940
105,0.469461
106,0.548514
107,0.541991
108,0.544012
109,0.557530
110,0.565846
111,0.579086
112,0.592805
113,0.582519
114,0.573614
115,0.888088
116,0.749275
117,0.710945
118,0.707526
119,0.638154
120,0.624575
121,0.691519
122,0.655660
123,0.645355
124,0.649593
125,0.650628
126,0.656152
127,0.667093
128,0.678473
129,0.686805
130,0.694850
131,0.696997
132,0.688521
133,0.698134
134,0.694166
135,0.697336
136,0.695398
137,0.700421
138,0.692802
139,0.690525
140,0.689248
141,0.691048
142,0.694266
143,0.687746
144,0.700234
