frame,value
0,43.589272
1,39.312500
2,38.817768
3,38.563648
4,39.960732
5,38.352451
6,37.953415
7,38.959301
8,34.969521
9,33.864147
10,27.296251
11,26.510719
12,26.072344
13,26.184191
14,26.228338
15,26.442720
16,25.174173
17,27.382412
18,25.705217
19,27.953012
20,27.415462
21,27.758364
22,27.472260
23,26.200632
24,28.401379
25,27.913992
26,28.386160
27,28.400612
28,28.537706
29,28.600985
30,29.041523
31,29.494860
32,29.624624
33,29.726498
34,29.875151
35,29.564402
36,29.641867
37,29.586636
38,29.575615
39,29.715929
40,29.826313
41,29.894472
42,30.020031
43,30.308445
44,30.438719
45,30.285042
46,30.323023
47,30.444212
48,30.478201
49,30.444740
50,30.617283
51,30.588095
52,30.431149
53,30.108421
54,30.033930
55,30.237129
56,30.517193
57,30.719826
58,30.831127
59,30.651527
60,30.639954
61,30.305317
62,30.237011
63,30.337559
64,30.065887
65,36.884403
66,35.115551
67,34.881145
68,34.486832
69,34.898048
70,35.391987
71,35.273781
72,35.207104
73,34.512821
74,35.354183
75,36.601681
76,36.079773
77,36.094715
78,36.766590
79,35.921837
80,35.921150
81,35.114967
82,34.012646
83,34.062218
84,34.360676
85,34.684994
86,35.096806
87,34.692963
88,34.370964
89,33.903664
90,33.566807
91,33.268803
92,32.995163
93,32.966446
94,32.964272
95,32.843887
96,32.834412
97,32.837509
98,32.933533
99,37.616646
100,33.308037
101,32.905937
102,32.717106
103,32.016876
104,33.406952
105,32.276180
106,33.961052
107,33.265831
108,33.175503
109,33.429150
110,33.765968
111,34.216118
112,34.400581
113,34.275871
114,34.082954
115,35.842705
116,32.456955
117,32.319752
118,32.200092
119,31.336123
120,30.924318
121,32.809265
122,32.390820
123,32.440414
124,32.436272
125,32.429379
126,32.569878
127,32.519016
128,32.486897
129,32.163910
130,31.891693
131,31.661377
132,31.512287
133,31.632557
134,31.615505
135,31.575693
136,31.665098
137,31.682961
138,31.578794
139,31.411385
140,31.242912
141,31.128387
142,31.221214
143,31.253048
144,31.373178
145,31.680189
146,31.857969
147,31.938379
148,31.948992
149,31.958529
150,31.219446
151,32.246830
152,31.241793
153,32.137333
154,31.254751
155,31.415075
156,38.954151
157,34.688694
158,33.926331
159,33.898304
160,33.918434
161,33.982536
162,33.927055
163,33.923088
164,33.892433
165,34.000507
166,33.927608
167,33.749947
168,33.752708
169,33.734047
170,33.888336
171,33.937843
172,33.714561
173,33.788200
174,33.937134
175,34.277489
176,34.682072
177,34.597706
178,34.940720
179,34.744854
180,34.682247
181,34.499454
182,34.379410
183,35.252449
184,30.930285
185,31.793550
186,32.012554
187,32.715546
188,32.436241
189,32.711304
190,33.765759
191,32.962391
192,34.218716
193,34.452766
194,34.447285
195,34.678635
196,34.709843
197,34.801544
198,34.847023
199,34.478519
200,34.314281
201,33.875759
202,33.678371
203,33.381699
204,33.907043
205,33.804558
206,33.417732
207,33.272923
208,33.178230
209,33.136112
210,32.839027
211,32.560516
212,32.540871
213,32.854527
214,32.898590
215,31.997189
216,32.842209
217,31.578430
218,31.901682
219,31.185734
220,32.518631
221,31.153585
222,31.562666
223,31.007250
224,32.364437
225,30.891613
226,31.039217
227,30.539530
228,31.807138
229,31.175692
230,31.851467
231,31.781570
232,33.176823
233,32.200748
234,32.949318
235,32.870705
236,32.849201
237,33.107937
238,33.372467
239,32.742470
240,33.651756
241,33.457417
242,33.353020
243,33.380024
244,33.304344
245,33.471905
246,33.510838
247,33.464443
248,33.570789
249,33.479378
250,33.411655
251,32.227280
252,33.528599
253,33.378899
254,33.496227
255,31.978743
256,33.363506
257,32.045143
258,33.449249
259,32.015503
260,33.201115
261,31.873453
262,32.149906
263,31.409149
264,30.976404
265,38.656261
266,34.767960
267,34.845825
268,33.647812
269,35.318516
270,33.889381
271,34.600460
272,34.134380
273,35.856701
274,34.282059
275,34.868797
276,34.064281
277,35.431797
278,33.595028
279,34.337158
280,33.901867
281,35.369713
282,33.864380
283,34.272858
284,33.655834
285,35.152039
286,33.478809
287,34.507637
288,33.498985
289,35.253864
290,33.825802
291,34.535793
292,33.816254
293,35.039711
294,33.687866
295,34.309444
296,33.738171
297,35.041023
298,33.773544
299,34.338291
300,33.740444
301,35.105690
302,33.943340
303,34.582779
304,34.058559
305,35.120922
306,34.129444
307,34.657631
308,34.054089
309,35.230091
310,34.199707
311,34.623257
312,34.216473
313,35.256729
314,34.192516
315,34.839012
316,34.283100
317,35.394939
318,34.209988
319,34.853298
320,34.394539
321,35.583103
322,34.557899
323,35.073521
324,34.574841
325,35.776985
326,34.607452
327,35.339432
328,34.939312
329,35.884331
330,34.855274
331,35.435326
332,34.950104
333,36.098419
334,35.076397
335,35.729465
336,35.202278
337,36.307335
338,35.237152
339,35.853611
340,35.289642
341,36.538528
342,35.461277
343,36.058777
344,35.484997
345,36.671795
346,35.542706
347,36.169952
348,35.645905
349,36.772133
350,35.615498
351,36.371147
352,35.826683
353,36.889000
354,35.647354
355,36.219269
356,35.635090
357,36.611828
358,35.484196
359,35.861542
360,35.126137
361,35.100254
362,44.186726
363,39.819328
364,39.185158
365,40.981991
366,39.723816
367,39.386177
368,40.534519
369,39.469421
370,39.014351
371,39.955734
372,38.723949
373,39.124905
374,38.416527
375,39.810478
376,38.318405
377,38.866051
378,38.270439
379,39.420177
380,38.285473
381,38.705132
382,38.243603
383,39.411880
384,38.337715
385,38.803055
386,38.759243
387,39.635124
388,39.024849
389,39.820507
390,38.985870
391,39.949306
392,38.762226
393,38.177200
394,39.547768
395,38.753189
396,38.613113
397,38.310898
398,38.141857
399,37.255459
400,38.586727
401,38.527149
402,38.483814
403,38.000557
404,37.526783
405,35.506001
406,36.601265
407,36.051689
408,37.645699
409,36.273476
410,36.849747
411,36.444324
412,37.928436
413,36.432041
414,36.983555
415,36.292702
416,36.962849
417,36.374622
418,44.174564
419,39.615753
420,39.101578
421,40.627571
422,38.486336
423,37.887684
424,39.091450
425,36.767899
426,36.826824
427,36.434589
428,38.180050
429,36.673534
430,37.183609
431,36.893799
432,38.489338
433,36.926567
434,37.232609
435,36.793411
436,38.251125
437,36.941639
