frame,value
0,52.460037
1,49.712261
2,48.689899
3,49.247482
4,48.028271
5,46.721409
6,47.030476
7,42.485939
8,39.893803
9,37.491272
10,35.453732
11,34.702358
12,33.659184
13,33.496254
14,33.354927
15,33.187710
16,32.631546
17,33.635796
18,33.772594
19,34.038898
20,34.069916
21,34.306831
22,34.119289
23,34.365948
24,33.813774
25,35.260754
26,35.630123
27,35.732121
28,35.929848
29,36.127075
30,36.272663
31,36.629875
32,36.418728
33,36.382690
34,36.260151
35,35.776711
36,35.958500
37,36.098213
38,36.206852
39,36.317631
40,36.809959
41,37.021061
42,37.033146
43,37.270691
44,37.365074
45,37.232647
46,37.026901
47,37.136402
48,37.062210
49,37.014786
50,36.997986
51,36.846344
52,36.585686
53,36.346710
54,36.222855
55,36.318226
56,36.638317
57,36.956680
58,36.975277
59,36.934856
60,36.811787
61,36.570019
62,36.573151
63,36.748745
64,36.752453
65,42.673649
66,43.109943
67,42.953533
68,42.928764
69,43.111481
70,43.306911
71,43.444008
72,43.541481
73,43.830769
74,44.390095
75,45.033337
76,44.528305
77,44.423752
78,44.581635
79,44.627441
80,45.009666
81,43.779766
82,42.996170
83,42.135765
84,42.900913
85,43.413540
86,43.179520
87,42.535057
88,42.267380
89,41.859062
90,41.595459
91,41.322502
92,41.323761
93,41.121239
94,41.188271
95,40.055370
96,41.236107
97,40.992958
98,41.110146
99,41.108475
100,41.295975
101,40.353851
102,41.530071
103,40.465481
104,41.682102
105,40.656590
106,40.725361
107,42.273396
108,41.798508
109,42.265430
110,42.532959
111,42.693066
112,42.829582
113,43.148033
114,43.082012
115,41.187370
116,39.684181
117,40.809528
118,40.740944
119,39.854427
120,39.804085
121,41.193352
122,41.076729
123,41.114655
124,41.164772
125,41.119804
126,41.198795
127,41.267532
128,41.103172
129,40.965271
130,40.767834
131,40.534115
132,40.508926
133,40.639977
134,40.689621
135,40.748878
136,40.906990
137,41.002171
138,40.969501
139,40.985287
140,40.960361
141,40.895878
142,40.916901
143,40.994408
144,40.956009
145,41.169498
146,41.320415
147,41.339203
148,41.301281
149,41.384865
150,40.639404
151,41.668236
152,40.755543
153,41.157711
154,40.735344
155,40.967453
156,43.416836
157,43.415058
158,43.452629
159,43.450012
160,43.658039
161,43.466072
162,43.326653
163,43.262127
164,43.281742
165,43.373528
166,43.283054
167,43.289066
168,43.026405
169,42.987068
170,43.133366
171,43.293644
172,43.034142
173,43.121620
174,43.083385
175,43.491806
176,43.725773
177,43.602623
178,43.860256
179,43.783146
180,43.853634
181,43.560913
182,43.640282
