frame,value
0,0.995805
1,0.993237
2,0.991863
3,0.993008
4,0.991543
5,0.990194
6,0.991112
7,0.981682
8,0.973426
9,0.953104
10,0.933025
11,0.935935
12,0.927338
13,0.925087
14,0.923826
15,0.918572
16,0.892406
17,0.924478
18,0.929032
19,0.932265
20,0.932574
21,0.935113
22,0.928916
23,0.928764
24,0.899902
25,0.932489
26,0.937168
27,0.937683
28,0.937371
29,0.939732
30,0.943596
31,0.945360
32,0.947513
33,0.948543
34,0.949346
35,0.948096
36,0.948165
37,0.949462
38,0.949466
39,0.948582
40,0.949293
41,0.949506
42,0.951388
43,0.952403
44,0.954600
45,0.953004
46,0.951070
47,0.951980
48,0.952447
49,0.952493
50,0.954295
51,0.953571
52,0.949948
53,0.948479
54,0.948524
55,0.949627
56,0.952816
57,0.955670
58,0.956235
59,0.954923
60,0.954705
61,0.954610
62,0.954466
63,0.954933
64,0.956372
65,0.981978
66,0.982506
67,0.982046
68,0.982008
69,0.982843
70,0.982950
71,0.983000
72,0.983532
73,0.984320
74,0.984457
75,0.984088
76,0.983529
77,0.983884
78,0.984453
79,0.984614
80,0.985899
81,0.983552
82,0.981289
83,0.979555
84,0.982508
85,0.983893
86,0.984481
87,0.983202
88,0.983461
89,0.981817
90,0.980690
91,0.979766
92,0.979422
93,0.978749
94,0.979544
95,0.970573
96,0.979263
97,0.978886
98,0.979331
99,0.979430
100,0.979452
101,0.971406
102,0.978514
103,0.970913
104,0.978401
105,0.969009
106,0.971127
107,0.979985
108,0.979499
109,0.980893
110,0.981837
111,0.983200
112,0.983809
113,0.984803
114,0.984722
115,0.982228
116,0.973910
117,0.980865
118,0.980858
119,0.973210
120,0.974048
121,0.982528
122,0.982599
123,0.982635
124,0.983281
125,0.983648
126,0.984045
127,0.984585
128,0.984583
129,0.984232
130,0.984005
131,0.983749
132,0.983866
133,0.984390
134,0.984710
135,0.984974
136,0.985257
137,0.985548
138,0.985395
139,0.985369
140,0.985306
141,0.985281
142,0.985220
143,0.985370
144,0.985547
145,0.986055
146,0.986153
147,0.985946
148,0.986414
149,0.986380
150,0.983615
151,0.986825
152,0.983800
153,0.983952
154,0.983713
155,0.985316
156,0.986314
157,0.986881
158,0.987219
159,0.986935
160,0.987374
161,0.987437
162,0.987339
163,0.987306
164,0.987210
165,0.986988
166,0.987247
167,0.987012
168,0.986387
169,0.985851
170,0.985898
171,0.985887
172,0.985661
173,0.985682
174,0.986245
175,0.986703
176,0.986959
177,0.986658
178,0.986701
179,0.986819
180,0.987289
181,0.987442
182,0.987861
183,0.961209
184,0.963502
185,0.967857
186,0.978210
187,0.978121
188,0.979486
189,0.981163
190,0.978853
191,0.979858
192,0.984125
193,0.985282
194,0.984981
195,0.985474
196,0.985575
197,0.985937
198,0.986018
199,0.985160
200,0.985421
201,0.984274
202,0.984850
203,0.982599
204,0.984321
205,0.984832
206,0.984377
207,0.981825
208,0.984138
209,0.983857
210,0.983022
211,0.982269
212,0.979448
213,0.982168
214,0.982175
215,0.979016
216,0.979083
217,0.980769
218,0.977325
219,0.976582
220,0.978500
221,0.974571
222,0.974228
223,0.974271
224,0.977118
225,0.973198
226,0.971294
227,0.973862
228,0.971855
229,0.975165
230,0.979543
231,0.981755
232,0.980061
233,0.980089
234,0.982437
235,0.981505
236,0.982357
237,0.984639
238,0.985517
239,0.985850
240,0.986100
241,0.986115
242,0.985819
243,0.985759
244,0.984324
245,0.986325
246,0.986567
247,0.985003
248,0.985559
249,0.987001
250,0.992025
251,0.989450
252,0.986315
253,0.985646
254,0.986620
255,0.984297
256,0.985259
257,0.983932
258,0.984998
259,0.983927
260,0.983382
261,0.983524
262,0.981189
263,0.979876
264,0.977778
265,0.992636
266,0.989848
267,0.988703
268,0.989402
269,0.987355
270,0.987429
271,0.989689
272,0.988103
273,0.987769
274,0.987818
275,0.989456
276,0.987524
277,0.987486
278,0.986989
279,0.988956
280,0.986996
281,0.986869
282,0.989311
283,0.987199
284,0.987579
285,0.987321
286,0.990493
287,0.988597
288,0.989350
289,0.989457
290,0.991169
291,0.990127
292,0.990400
293,0.990174
294,0.991139
295,0.990307
296,0.990546
297,0.990331
298,0.991301
299,0.990227
300,0.990147
301,0.990702
302,0.990283
303,0.990380
304,0.991363
305,0.990672
306,0.990482
307,0.990948
308,0.990429
309,0.990408
310,0.991326
311,0.990863
312,0.991051
313,0.990610
314,0.990708
315,0.991693
316,0.991048
317,0.990912
318,0.991374
319,0.990788
320,0.990819
321,0.991846
322,0.991362
323,0.991484
324,0.991098
325,0.991278
326,0.992257
327,0.991800
328,0.991915
329,0.991754
330,0.992446
331,0.991959
332,0.992139
333,0.991677
334,0.991896
335,0.992810
336,0.992119
337,0.992007
338,0.992482
339,0.991966
340,0.992045
341,0.992929
342,0.992296
343,0.992213
344,0.992571
345,0.992111
346,0.992138
347,0.992847
348,0.992394
349,0.992551
350,0.992047
351,0.992192
352,0.992769
353,0.992148
354,0.991972
355,0.992351
356,0.991812
357,0.991674
358,0.991998
359,0.991490
360,0.991239
361,0.990910
362,0.995578
363,0.993431
364,0.994884
365,0.993877
366,0.994966
367,0.993836
368,0.994730
369,0.993710
370,0.993463
371,0.994477
372,0.993186
373,0.993094
374,0.994356
375,0.993112
376,0.992913
377,0.994213
378,0.993057
379,0.993049
380,0.993124
381,0.994202
382,0.993191
383,0.993224
384,0.992882
385,0.993125
386,0.994020
387,0.993090
388,0.993059
389,0.993105
390,0.994305
391,0.992955
392,0.992746
393,0.994221
394,0.992771
395,0.993870
396,0.992357
397,0.993764
398,0.993450
399,0.991889
400,0.992217
401,0.992789
402,0.994514
403,0.993609
404,0.992914
405,0.991143
406,0.991282
407,0.992851
408,0.991486
409,0.991687
410,0.991765
411,0.992998
412,0.991914
413,0.991879
414,0.991471
415,0.991601
416,0.992231
417,0.991127
418,0.996522
419,0.995571
420,0.995622
421,0.996171
422,0.994934
423,0.994403
424,0.995110
425,0.993089
426,0.992802
427,0.992846
428,0.994366
429,0.992904
430,0.993186
431,0.992544
432,0.992859
433,0.994160
434,0.992718
435,0.993085
436,0.992477
437,0.992825
438,0.994307
439,0.993174
440,0.993402
441,0.992975
442,0.993134
443,0.994230
444,0.993255
445,0.993481
446,0.993100
447,0.994285
448,0.992839
449,0.992850
450,0.992405
451,0.993782
452,0.992776
453,0.992539
454,0.993637
455,0.993169
456,0.993992
457,0.994407
458,0.995921
459,0.995232
460,0.994987
461,0.995897
462,0.994689
463,0.994462
464,0.993572
465,0.994631
466,0.993032
467,0.992811
468,0.994393
469,0.992913
470,0.992666
471,0.994714
472,0.992932
473,0.993208
474,0.993183
475,0.994948
476,0.993703
477,0.993949
478,0.993795
479,0.995128
480,0.994215
481,0.994312
482,0.994012
483,0.994114
484,0.995058
485,0.994221
486,0.994140
487,0.994417
488,0.993982
489,0.993928
490,0.994470
491,0.993674
492,0.993806
493,0.993120
494,0.993066
495,0.994107
496,0.993059
497,0.993327
498,0.992704
499,0.992498
average,0.982823
